csv_outfile;preds;target;corrected?
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\NoFireVid8_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\NoFireVid4_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\NoFireVid13_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid55_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid56_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid57_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid58_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid59_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid60_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid61_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid62_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid63_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid64_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid65_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid66_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid67_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\FireVid20_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_temp_stabilize__20250729.174953\NoFireVid10_results.csv;negative;negative;1
