video_path;width;height;frame_count;fps;file_name;dataset_name;video_label
/mnt/c/Users/ha/Desktop/new_dataset/pool/Mivia_fire/Mivia__lb_fire__fire14.avi;320;240;369243;1000;Mivia__lb_fire__fire14.avi;Mivia;fire
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__68413-528670667.mp4;1920;1080;1218;60;PEXELs__lb_firesmoke__68413-528670667.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__13589187_1080_1920_60fps.mp4;1080;1920;660;59.94005994;PEXELs__lb_firesmoke__13589187_1080_1920_60fps.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__143325-782178558.mp4;1920;1080;354;50;PEXELs__lb_firesmoke__143325-782178558.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__95009-644716367.mp4;1920;1080;647;50;PEXELs__lb_firesmoke__95009-644716367.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__95010-644716378.mp4;1920;1080;1486;50;PEXELs__lb_firesmoke__95010-644716378.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__97842-649761078.mp4;1920;1080;1284;50;PEXELs__lb_firesmoke__97842-649761078.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid31.mp4;352;640;317;31.179;FireNet__lb_firesmoke__FireVid31.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid3.mp4;1280;720;113;30.25192086;FireNet__lb_none__NoFireVid3.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid9.mp4;1280;720;74;30.25185487;FireNet__lb_none__NoFireVid9.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid10.mp4;1280;720;70;30.25185098;FireNet__lb_none__NoFireVid10.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid20.mp4;1280;720;148;30.25178685;FireNet__lb_firesmoke__FireVid20.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid25.mp4;1280;720;174;30.25176773;FireNet__lb_firesmoke__FireVid25.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid21.mp4;1280;720;175;30.25176731;FireNet__lb_firesmoke__FireVid21.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid12.mp4;1280;720;369;30.25175114;FireNet__lb_none__NoFireVid12.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid22.mp4;1280;720;172;30.25171006;FireNet__lb_firesmoke__FireVid22.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid14.mp4;1280;720;109;30.25166051;FireNet__lb_none__NoFireVid14.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid13.mp4;1280;720;514;30.25165136;FireNet__lb_none__NoFireVid13.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid23.mp4;1280;720;168;30.25163417;FireNet__lb_firesmoke__FireVid23.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid11.mp4;1280;720;184;30.25161949;FireNet__lb_none__NoFireVid11.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid24.mp4;1280;720;145;30.25142901;FireNet__lb_firesmoke__FireVid24.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid26.mp4;1280;720;289;30.20151762;FireNet__lb_firesmoke__FireVid26.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid16.mp4;1280;720;217;30.15145199;FireNet__lb_none__NoFireVid16.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid67.mp4;1920;1080;442;30.04007609;FireNet__lb_firesmoke__FireVid67.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/DFire/valid/DFire__lb_none__FP50.mp4;1080;1920;462;30.03504088;DFire__lb_none__FP50.mp4;DFire;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid6.mp4;1920;1080;380;30.00855507;FireNet__lb_none__NoFireVid6.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid37.mp4;720;1280;166;30.00723066;FireNet__lb_firesmoke__FireVid37.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid32.mp4;720;1280;646;30.00464468;FireNet__lb_firesmoke__FireVid32.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid33.mp4;720;1280;646;30.00464468;FireNet__lb_firesmoke__FireVid33.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid2.mp4;1920;1080;260;30.00453915;FireNet__lb_none__NoFireVid2.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid28.mp4;720;1280;1213;30.00395765;FireNet__lb_firesmoke__FireVid28.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid34.mp4;720;1280;1051;30.00371121;FireNet__lb_firesmoke__FireVid34.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid29.mp4;720;1280;1625;30.00369276;FireNet__lb_firesmoke__FireVid29.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid38.mp4;720;1280;1637;30.00366569;FireNet__lb_firesmoke__FireVid38.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid30.mp4;720;1280;1236;30.00364122;FireNet__lb_firesmoke__FireVid30.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid36.mp4;720;1280;1430;30.00356686;FireNet__lb_firesmoke__FireVid36.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid27.mp4;720;1280;1475;30.00345803;FireNet__lb_firesmoke__FireVid27.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid35.mp4;720;1280;1814;30.00281173;FireNet__lb_firesmoke__FireVid35.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FIRESENSE/smoke_videos.1407/neg/FIRESENSE__lb_none__testneg03.809.avi;640;480;748;30.00003;FIRESENSE__lb_none__testneg03.809.avi;FIRESENSE;none
