video_path;width;height;frame_count;fps;file_name;dataset_name;video_label
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__68413-528670667.mp4;1920;1080;1218;60.0;PEXELs__lb_firesmoke__68413-528670667.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__143325-782178558.mp4;1920;1080;354;50.0;PEXELs__lb_firesmoke__143325-782178558.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__95009-644716367.mp4;1920;1080;647;50.0;PEXELs__lb_firesmoke__95009-644716367.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__95010-644716378.mp4;1920;1080;1486;50.0;PEXELs__lb_firesmoke__95010-644716378.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__97842-649761078.mp4;1920;1080;1284;50.0;PEXELs__lb_firesmoke__97842-649761078.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid3.mp4;1280;720;113;30.25192086;FireNet__lb_none__NoFireVid3.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid9.mp4;1280;720;74;30.25185487;FireNet__lb_none__NoFireVid9.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid10.mp4;1280;720;70;30.25185098;FireNet__lb_none__NoFireVid10.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid20.mp4;1280;720;148;30.25178685;FireNet__lb_firesmoke__FireVid20.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid25.mp4;1280;720;174;30.25176773;FireNet__lb_firesmoke__FireVid25.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid21.mp4;1280;720;175;30.25176731;FireNet__lb_firesmoke__FireVid21.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid12.mp4;1280;720;369;30.25175114;FireNet__lb_none__NoFireVid12.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid22.mp4;1280;720;172;30.25171006;FireNet__lb_firesmoke__FireVid22.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid14.mp4;1280;720;109;30.25166051;FireNet__lb_none__NoFireVid14.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid13.mp4;1280;720;514;30.25165136;FireNet__lb_none__NoFireVid13.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid23.mp4;1280;720;168;30.25163417;FireNet__lb_firesmoke__FireVid23.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid11.mp4;1280;720;184;30.25161949;FireNet__lb_none__NoFireVid11.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid24.mp4;1280;720;145;30.25142901;FireNet__lb_firesmoke__FireVid24.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid26.mp4;1280;720;289;30.20151762;FireNet__lb_firesmoke__FireVid26.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid16.mp4;1280;720;217;30.15145199;FireNet__lb_none__NoFireVid16.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/fire/FireNet__lb_firesmoke__FireVid67.mp4;1920;1080;442;30.04007609;FireNet__lb_firesmoke__FireVid67.mp4;FireNet;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid6.mp4;1920;1080;380;30.00855507;FireNet__lb_none__NoFireVid6.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid2.mp4;1920;1080;260;30.00453915;FireNet__lb_none__NoFireVid2.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/Prof/Prof__lb_firesmoke__d3.mp4;1280;720;15594;30.00002693;Prof__lb_firesmoke__d3.mp4;Prof;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__11910087_1920_1080_30fps.mp4;1920;1080;1796;30.0;PEXELs__lb_firesmoke__11910087_1920_1080_30fps.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__214875_small.mp4;1920;1080;636;30.0;PEXELs__lb_firesmoke__214875_small.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__4525902-hd_1920_1080_30fps.mp4;1920;1080;1018;30.0;PEXELs__lb_firesmoke__4525902-hd_1920_1080_30fps.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__47889-452144042.mp4;1920;1080;988;30.0;PEXELs__lb_firesmoke__47889-452144042.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__4824124-hd_1920_1080_30fps.mp4;1920;1080;398;30.0;PEXELs__lb_firesmoke__4824124-hd_1920_1080_30fps.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__8064156-hd_1920_1080_30fps.mp4;1920;1080;259;30.0;PEXELs__lb_firesmoke__8064156-hd_1920_1080_30fps.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__9416733-hd_1920_1080_30fps.mp4;1920;1080;41;30.0;PEXELs__lb_firesmoke__9416733-hd_1920_1080_30fps.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid7.mp4;1920;1080;86;30.0;FireNet__lb_none__NoFireVid7.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/fire video/VSD3__lb_firesmoke__video5.mp4;1280;720;9018;30.0;VSD3__lb_firesmoke__video5.mp4;VSD3;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/Prof/Prof__lb_firesmoke__d0.mp4;1280;720;6300;30.0;Prof__lb_firesmoke__d0.mp4;Prof;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/Prof/Prof__lb_firesmoke__d1.mp4;1280;720;6600;30.0;Prof__lb_firesmoke__d1.mp4;Prof;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/Prof/Prof__lb_firesmoke__d2.mp4;1280;720;6750;30.0;Prof__lb_firesmoke__d2.mp4;Prof;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/Prof/Prof__lb_firesmoke__d4.mp4;1280;720;11400;30.0;Prof__lb_firesmoke__d4.mp4;Prof;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/FireNet/NoFire/FireNet__lb_none__NoFireVid15.mp4;1280;720;39;29.99384742;FireNet__lb_none__NoFireVid15.mp4;FireNet;none
/mnt/c/Users/ha/Desktop/new_dataset/pool/fire video/VSD3__lb_firesmoke__video4.mp4;1920;1080;1419;29.98326515;VSD3__lb_firesmoke__video4.mp4;VSD3;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__11574636-hd_1920_1080_30fps.mp4;1920;1080;1569;29.97002997;PEXELs__lb_firesmoke__11574636-hd_1920_1080_30fps.mp4;PEXELs;firesmoke
/mnt/c/Users/ha/Desktop/new_dataset/pool/pexels/PEXELs__lb_firesmoke__11584960-hd_1920_1080_30fps.mp4;1920;1080;2147;29.97002997;PEXELs__lb_firesmoke__11584960-hd_1920_1080_30fps.mp4;PEXELs;firesmoke
