csv_outfile;preds;target;corrected?
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP9_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP14_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP22_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\FP48_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\FP46_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP41_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP15_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP10_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP13_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP5_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP7_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP30_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP29_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP28_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP27_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP31_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP36_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP3_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP39_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP43_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP44_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP45_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP46_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP47_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_tpt__20250731.101038\VP49_results.csv;positive;positive;1
