Algorithm;FPS;Video File (1920x1080@30)
FrameDifference;120.8614647;dataset/real_cam1.mp4
StaticFrameDifference;110.068008;dataset/real_cam1.mp4
TwoPoints;82.39075455;dataset/real_cam1.mp4
KDE;79.44727387;dataset/real_cam1.mp4
AdaptiveSelectiveBackgroundLearning;71.12626523;dataset/real_cam1.mp4
WeightedMovingMean;69.42832341;dataset/real_cam1.mp4
WeightedMovingVariance;64.67970305;dataset/real_cam1.mp4
FuzzyChoquetIntegral;58.98766773;dataset/real_cam1.mp4
FuzzySugenoIntegral;58.26870172;dataset/real_cam1.mp4
SigmaDelta;54.06247916;dataset/real_cam1.mp4
ViBe;49.4120816;dataset/real_cam1.mp4
CodeBook;36.89043628;dataset/real_cam1.mp4
LBSimpleGaussian;31.82299859;dataset/real_cam1.mp4
AdaptiveBackgroundLearning;30.30505148;dataset/real_cam1.mp4
MixtureOfGaussianV2;22.24528125;dataset/real_cam1.mp4
LBFuzzyGaussian;22.12854157;dataset/real_cam1.mp4
KNN;21.58000937;dataset/real_cam1.mp4
VuMeter;16.21283701;dataset/real_cam1.mp4
LBMixtureOfGaussians;15.23189468;dataset/real_cam1.mp4
IndependentMultimodal;11.39408207;dataset/real_cam1.mp4
LBAdaptiveSOM;8.685326341;dataset/real_cam1.mp4
LBFuzzyAdaptiveSOM;7.987795384;dataset/real_cam1.mp4
PixelBasedAdaptiveSegmenter;7.20323101;dataset/real_cam1.mp4
LOBSTER;1.386989787;dataset/real_cam1.mp4
SuBSENSE;1.204753957;dataset/real_cam1.mp4
PAWCS;0.275407775;dataset/real_cam1.mp4
