Video database;Method;Accuracy (%);F1-score;TPR (%);FPR (%);FNR (%);TNR (%);FPS
[20];YOLOv5s;68.57;0.76;97.14;60;2.86;40;162.27
[20];YOLOv5s+TPT;71.43;0.76;91.43;48.57;8.57;51.43;162.81
[20];YOLOv5s+AVT;72.86;0.78;97.14;51.43;2.86;48.57;159.65
[20];YOLOv5l;60;0.71;100;80;0;20;59.34
[20];YOLOv5l+TPT;71.43;0.77;97.14;54.29;2.86;45.71;59.36
[20];YOLOv5l+AVT;65.71;0.75;100;68.57;0;31.43;59.44
[20];FireNet [3];54;0.5;46;38;54;62;32.06
[20];MobileNet [5];35;0;0;30;100;70;23.66
[3];YOLOv5s;91.94;0.95;100;31.25;0;68.75;138.9
[3];YOLOv5s+TPT;95.16;0.97;97.83;12.5;2.17;87.5;137.74
[3];YOLOv5s+AVT;90.32;0.94;95.65;25;4.35;75;138.22
[3];YOLOv5l;93.55;0.96;100;25;0;75;55.85
[3];YOLOv5l+TPT;95.16;0.97;97.83;12.5;2.17;87.5;55.7
[3];YOLOv5l+AVT;93.55;0.96;97.83;18.75;2.17;81.25;55.29
[3];FireNet(*) [3];87.1;0.92;95.65;37.5;4.35;62.5;32.91
[3];MobileNet [5];93.55;0.96;95.65;12.5;4.35;87.5;27.9
