BILKENT;FLAME;SMOKE;WIDTH;HEIGHT;INDOOR;OUTDOOR;SHORT DISTANCE;LONG DISTANCE;LOW ACTIVITY;HIGH ACTIVITY;;;;;;
40m_PanFire_20060824.avi;1;1;320;240;0;1;0;1;1;0;;;;;;
barbeq.avi;1;0;320;240;0;1;1;0;1;0;;;;;;
controlled1.avi;1;0;400;256;0;1;1;0;1;0;;;;;;
controlled2.avi;1;1;400;256;0;1;1;0;1;0;;;;;;
controlled3.avi;1;1;400;256;0;1;1;0;1;0;;;;;;
fBackYardFire.avi;1;1;320;240;0;1;1;0;1;0;;;;;;
fire1.avi;1;1;320;240;0;1;1;0;1;0;;;;;;
forest1.avi;1;1;400;256;0;1;0;1;1;0;;;;;;
forest2.avi;1;1;400;256;0;1;0;1;1;0;;;;;;
forest3.avi;1;1;400;256;0;1;1;0;1;0;;;;;;
forest4.avi;1;1;400;256;0;1;0;1;1;0;;;;;;
forest5.avi;1;1;400;256;0;1;0;1;1;0;;;;;;
ForestFire1.avi;1;1;400;256;0;1;1;0;1;0;;;;;;
20070817_Aksehir_Duman_Test5_en_Iyi1_near_487_frame.avi;0;1;720;576;0;1;0;1;1;0;;;;;;
20090409 ManavgatTEst.avi;0;1;320;240;0;1;0;1;1;0;;;;;;
Pelco_Colakli.avi;0;1;720;576;0;1;0;1;1;0;;;;;;
Smoke_Manavgat_Raw.avi;0;1;352;288;0;1;0;1;1;0;;;;;;
ISYAM_Smoke_Output.avi;0;1;720;480;0;1;1;0;1;0;;;;;;
Pelco_Colakli.avi;0;1;720;576;0;1;0;1;1;0;;;;;;
sBehindtheFence.avi;0;1;320;240;0;1;1;0;1;0;;;;;;
sBtFence2.avi;0;1;320;240;0;1;1;0;1;0;;;;;;
sEmptyR1.avi;0;1;320;240;1;0;1;0;1;0;;;;;;
sEmptyR2.avi;0;1;320;240;1;0;1;0;1;0;;;;;;
ShorterIsyamNight.avi;1;1;320;240;1;0;1;0;1;0;;;;;;
Smoke_Manavgat_Output.avi;0;1;352;288;0;1;0;1;1;0;;;;;;
Smoke_Manavgat_Raw.avi;0;1;352;288;0;1;0;1;1;0;;;;;;
sMoky.avi;1;1;320;240;0;1;1;0;1;0;;;;;;
sorgun1.avi;0;1;720;576;0;1;0;1;1;0;;;;;;
sParkingLot.avi;0;1;320;240;0;1;0;1;1;0;;;;;;
sWasteBasket.avi;0;1;320;240;0;1;1;0;1;0;;;;;;
sWindow.avi;0;1;320;240;0;1;1;0;1;0;;;;;;
TunnelAccident1.avi;0;0;320;240;1;0;1;0;0;1;;;;;;
TunnelAccident2.avi;0;0;320;240;1;0;1;0;0;1;;;;;;
TunnelAccident3.avi;0;0;320;240;1;0;1;0;0;1;;;;;;
CarLights1.avi;0;0;320;240;0;1;1;0;0;1;;;;;;
CarLights2.avi;0;0;320;240;0;1;1;0;0;1;;;;;;
Colakli_Smoke_Output.avi;0;1;720;576;0;1;0;1;1;0;;;;;;
Factory_Smoke_Output.avi;0;1;352;288;0;1;0;1;1;0;;;;;;
D-FIRE;FLAME;SMOKE;WIDTH;HEIGHT;INDOOR;OUTDOOR;SHORT DISTANCE;LONG DISTANCE;LOW ACTIVITY;HIGH ACTIVITY;;;;;;
VP1.mp4;0;1;1280;720;0;1;0;1;1;0;;;;;;
VP2.mp4;0;1;1280;720;0;1;0;1;1;0;;;;;;
VP3.mp4;0;1;1280;720;0;1;0;1;1;0;;;;;;
VP4.mp4;0;1;1280;720;0;1;0;1;1;0;;;;;;
VP5.mp4;0;1;1280;720;0;1;0;1;1;0;;;;;;
VP6.mp4;0;1;1280;720;0;1;0;1;1;0;;;;;;
VP7.mp4;0;1;1280;720;0;1;0;1;1;0;;;;;;
VP8.mp4;0;1;1280;720;0;1;0;1;1;0;;;;;;
VP9.mp4;0;1;1280;720;0;1;0;1;1;0;;;;;;
VP10.mp4;0;1;1280;720;0;1;0;1;1;0;;;;;;
VP11.mp4;0;1;1280;720;0;1;0;1;1;0;;;;;;
VP12.mp4;0;1;1280;720;0;1;0;1;1;0;;;;;;
VP13.mp4;0;1;1280;720;0;1;0;1;1;0;;;;;;
VP14.mp4;0;1;1280;720;0;1;0;1;1;0;;;;;;
