video;frame;classifier;prob;skipped;eager_mode
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;1;0;0.03;1;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;2;0;0.05;1;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;3;0;0.08;1;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;4;0;0.12;1;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;5;0;0.1;1;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;6;0;0.07;1;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;7;0;0.09;1;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;8;0;0.06;1;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;9;0;0.11;1;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;10;0;0.13;1;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;11;1;0.72;0;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;12;1;0.81;0;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;13;1;0.85;0;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;14;1;0.88;0;1
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;15;1;0.91;0;1
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;16;0;0.45;0;1
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;17;1;0.78;0;1
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;18;1;0.82;0;1
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;19;1;0.79;0;1
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;20;1;0.84;0;1
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;21;1;0.76;0;1
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;22;1;0.8;0;1
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;23;0;0.42;0;1
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;24;0;0.38;0;1
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;25;1;0.71;0;1
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;26;1;0.68;0;1
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;27;0;0.35;0;1
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;28;0;0.28;0;1
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;29;0;0.22;0;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;30;0;0.15;0;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;31;0;0.1;1;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;32;0;0.08;1;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;33;0;0.06;1;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;34;0;0.05;1;0
datasets/UFireEagerAnalysis/aihub__lb_none__0175.mp4;35;0;0.04;1;0
