video;num_frames;frame_idx;elapsed_time;class_names;logits;probs;pred_label_idx;pred_label;eager_mode
aihub__lb_smoke__0208.mp4;360;1;0.048622125992551446;['Fire', 'None', 'SmokeOnly'];[-1.472867727279663, 1.4511239528656006, 0.41298073530197144];[0.03815716877579689, 0.7103127837181091, 0.2515300214290619];1;None;True
aihub__lb_smoke__0208.mp4;360;2;0.05659679393284023;['Fire', 'None', 'SmokeOnly'];[-1.5800753831863403, 1.3656415939331055, 0.6804451942443848];[0.03376966714859009, 0.6424441337585449, 0.323786199092865];1;None;True
aihub__lb_smoke__0208.mp4;360;3;0.05867056094575673;['Fire', 'None', 'SmokeOnly'];[-1.5005055665969849, 1.5419437885284424, 0.4069351255893707];[0.03485250473022461, 0.7303870320320129, 0.23476050794124603];1;None;True
aihub__lb_smoke__0208.mp4;360;4;0.06041770800948143;['Fire', 'None', 'SmokeOnly'];[-1.4937721490859985, 1.5029213428497314, 0.4301910102367401];[0.03588437661528587, 0.7183777689933777, 0.24573783576488495];1;None;True
aihub__lb_smoke__0208.mp4;360;5;0.0617323910119012;['Fire', 'None', 'SmokeOnly'];[-1.478997826576233, 1.5143163204193115, 0.39976266026496887];[0.03636749088764191, 0.7255932092666626, 0.2380392998456955];1;None;True
aihub__lb_smoke__0208.mp4;360;6;0.04868663300294429;['Fire', 'None', 'SmokeOnly'];[-1.4299761056900024, 1.5521745681762695, 0.3150220811367035];[0.037798479199409485, 0.745771586894989, 0.2164299339056015];1;None;True
aihub__lb_smoke__0208.mp4;360;7;0.04846062196884304;['Fire', 'None', 'SmokeOnly'];[-1.421395182609558, 1.5647329092025757, 0.2974790036678314];[0.03789733350276947, 0.7507020235061646, 0.21140062808990479];1;None;False
aihub__lb_smoke__0208.mp4;360;8;0.004234803025610745;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;9;0.0018289560684934258;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;10;0.0019501170609146357;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;11;0.0016942389775067568;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;12;0.002153357956558466;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;13;0.06165603001136333;['Fire', 'None', 'SmokeOnly'];[-1.3908450603485107, 1.6359689235687256, 0.19995862245559692];[0.03768027201294899, 0.777396559715271, 0.18492314219474792];1;None;False
