frame;classifier;prob;skipped;eager_mode
55;0;0.0;1;0
56;0;0.0;1;0
57;0;0.0;1;0
58;0;0.0;1;0
59;0;0.0;1;0
60;0;0.0;1;0
61;0;0.0;1;0
62;0;0.0;1;0
63;0;0.0;1;0
64;0;0.0;1;0
65;0;0.0;1;0
66;0;0.0;1;0
67;0;0.0;1;0
68;0;0.0;1;0
69;0;0.0;1;0
70;0;0.0;1;0
71;1;0.6779;0;1
72;1;0.664;0;1
73;1;0.539;0;1
74;1;0.4921;0;1
75;0;0.0;0;1
76;1;0.52;0;1
77;1;0.5325;0;1
78;1;0.537;0;1
79;1;0.5251;0;1
80;1;0.5356;1;1
81;1;0.5527;1;1
82;1;0.5399;1;1
83;1;0.5788;1;1
84;1;0.5714;1;1
85;1;0.77;1;1
86;1;0.7306;1;1
87;1;0.7099;1;1
88;1;0.6985;1;1
89;1;0.715;1;1
90;1;0.6996;1;1
91;1;0.7111;1;1
92;1;0.7174;1;1
93;1;0.7353;1;1
94;1;0.7293;1;1
95;1;0.7239;1;1
96;1;0.7236;1;1
97;1;0.6655;1;1
98;1;0.6876;1;1
99;1;0.6754;1;1
100;1;0.6594;1;1
101;0;0.0;1;1
102;0;0.0;0;1
103;0;0.0;0;1
104;0;0.0;0;1
105;1;0.5941;1;1
106;1;0.5609;1;1
107;1;0.5856;0;1
108;1;0.5911;0;1
109;1;0.5751;0;1
110;1;0.5513;1;1
111;1;0.5479;1;1
112;1;0.5654;1;1
113;1;0.5493;1;1
114;1;0.5591;1;1
115;1;0.5858;1;1
