frame;classifier;prob;skipped;eager_mode
1;1;0.9125;1;1
2;1;0.9143;1;1
3;1;0.9192;1;1
4;1;0.9175;1;1
5;1;0.9182;1;1
6;1;0.9186;1;1
7;1;0.918;1;1
8;1;0.9178;1;1
9;1;0.9177;1;1
10;1;0.9178;1;1
11;1;0.9178;1;1
12;1;0.9176;1;1
13;1;0.9135;1;1
14;1;0.9142;1;1
15;1;0.912;1;1
16;1;0.9114;1;1
17;1;0.9124;1;1
18;1;0.9125;1;1
19;1;0.9127;1;1
20;1;0.9132;1;1
21;1;0.9125;1;1
22;1;0.9122;1;1
23;1;0.9122;1;1
24;1;0.912;1;1
25;1;0.9131;1;1
26;1;0.9137;1;1
27;1;0.9116;1;1
28;1;0.9117;1;1
29;1;0.9123;1;1
30;1;0.9126;1;1
31;1;0.9126;1;1
32;1;0.9141;1;1
33;1;0.9141;1;1
34;1;0.9142;0;1
35;1;0.9116;0;1
36;1;0.9113;0;1
37;1;0.9121;1;1
38;1;0.9132;1;1
39;1;0.9112;0;1
40;1;0.9114;0;1
41;1;0.9119;0;1
42;1;0.9122;0;1
43;1;0.9117;0;1
44;1;0.9118;0;1
45;1;0.9119;0;1
46;1;0.9123;0;1
47;1;0.9123;0;1
48;1;0.9126;0;1
49;1;0.9133;0;1
50;1;0.9138;0;1
