frame;classifier;prob;skipped;eager_mode
10;0;0.0;1;0
11;0;0.0;1;0
12;0;0.0;1;0
13;0;0.0;0;0
14;0;0.0;0;0
15;0;0.0;0;0
16;0;0.0;0;0
17;0;0.0;1;0
18;0;0.0;1;0
19;0;0.0;1;0
20;0;0.0;1;0
21;0;0.0;1;0
22;0;0.0;1;0
23;0;0.0;1;0
24;0;0.0;1;0
25;0;0.0;1;0
26;0;0.0;1;0
27;0;0.0;1;0
28;0;0.0;1;0
29;0;0.0;1;0
30;0;0.0;1;0
31;0;0.0;1;0
32;0;0.0;1;0
33;0;0.0;1;0
34;0;0.0;1;0
35;0;0.0;1;0
36;0;0.0;1;0
37;0;0.0;1;0
38;0;0.0;1;0
39;0;0.0;1;0
40;0;0.0;1;0
41;0;0.0;1;0
42;1;0.4912;0;1
43;1;0.4991;0;1
44;1;0.528;0;1
45;1;0.5322;1;1
46;1;0.5377;1;1
47;1;0.5737;1;1
48;1;0.5885;1;1
49;0;0.0;1;1
50;0;0.0;1;1
51;0;0.0;1;1
52;1;0.4782;1;1
53;0;0.0;1;1
54;1;0.4951;1;1
55;1;0.5256;1;1
