frame;classifier;prob;skipped;eager_mode
160;0;0.0;1;0
161;0;0.0;1;0
162;1;0.5398;0;1
163;0;0.0;0;1
164;0;0.0;0;1
165;0;0.0;1;1
166;0;0.0;1;1
167;0;0.0;1;1
168;0;0.0;1;1
169;1;0.6069;1;1
170;1;0.633;1;1
171;1;0.6357;1;1
172;1;0.6197;1;1
173;1;0.6448;1;1
174;1;0.6345;1;1
175;1;0.598;1;1
176;1;0.5454;1;1
177;1;0.531;1;1
178;1;0.576;1;1
179;1;0.5787;1;1
180;1;0.5862;1;1
181;1;0.6323;1;1
182;1;0.7535;1;1
183;1;0.7128;1;1
184;1;0.7069;1;1
185;1;0.7064;1;1
186;1;0.6911;1;1
187;1;0.7078;1;1
188;1;0.7535;1;1
189;1;0.759;1;1
190;1;0.7667;1;1
191;1;0.6305;1;1
192;1;0.6565;1;1
193;1;0.6862;0;1
194;1;0.6712;0;1
195;1;0.668;1;1
196;1;0.6748;1;1
197;1;0.6899;1;1
198;1;0.6944;1;1
199;1;0.7038;1;1
200;1;0.7154;1;1
