video;num_frames;frame_idx;elapsed_time;class_names;logits;probs;pred_label_idx;pred_label;eager_mode
aihub__lb_none__0175.mp4;360;1;0.7519852549303323;['Fire', 'None', 'SmokeOnly'];[-0.7094047665596008, -0.6647801399230957, 1.0470447540283203];[0.12759216129779816, 0.1334148645401001, 0.7389929890632629];2;SmokeOnly;True
aihub__lb_none__0175.mp4;360;2;0.04458504694048315;['Fire', 'None', 'SmokeOnly'];[-1.0471408367156982, -0.2551557123661041, 1.0009291172027588];[0.09123507142066956, 0.20142647624015808, 0.7073384523391724];2;SmokeOnly;True
aihub__lb_none__0175.mp4;360;3;0.0430445340462029;['Fire', 'None', 'SmokeOnly'];[-1.0707111358642578, -0.21888293325901031, 0.9889577031135559];[0.08938707411289215, 0.20951685309410095, 0.7010960578918457];2;SmokeOnly;True
aihub__lb_none__0175.mp4;360;4;0.043195054051466286;['Fire', 'None', 'SmokeOnly'];[-1.0882487297058105, -0.20762500166893005, 0.9950886368751526];[0.08738485723733902, 0.21080756187438965, 0.7018076181411743];2;SmokeOnly;True
aihub__lb_none__0175.mp4;360;5;0.04172964196186513;['Fire', 'None', 'SmokeOnly'];[-1.0858371257781982, -0.2148505598306656, 0.9979504942893982];[0.08753415197134018, 0.20914246141910553, 0.7033233642578125];2;SmokeOnly;True
aihub__lb_none__0175.mp4;360;6;0.040660638944245875;['Fire', 'None', 'SmokeOnly'];[-1.082251787185669, -0.22296252846717834, 1.0033801794052124];[0.08763352036476135, 0.20694495737552643, 0.705421507358551];2;SmokeOnly;True
aihub__lb_none__0175.mp4;360;7;0.039622251060791314;['Fire', 'None', 'SmokeOnly'];[-1.0846965312957764, -0.22124487161636353, 1.0056251287460327];[0.08726882934570312, 0.20694328844547272, 0.7057879567146301];2;SmokeOnly;True
aihub__lb_none__0175.mp4;360;8;0.04236916603986174;['Fire', 'None', 'SmokeOnly'];[-1.0734578371047974, -0.2455509603023529, 1.0175715684890747];[0.08785983175039291, 0.20106929540634155, 0.7110708951950073];2;SmokeOnly;True
aihub__lb_none__0175.mp4;360;9;0.047264009015634656;['Fire', 'None', 'SmokeOnly'];[-1.0733236074447632, -0.255314439535141, 1.0304309129714966];[0.08723817765712738, 0.19768033921718597, 0.7150815725326538];2;SmokeOnly;True
aihub__lb_none__0175.mp4;360;10;0.04088668606709689;['Fire', 'None', 'SmokeOnly'];[-1.073496699333191, -0.2559625208377838, 1.0311418771743774];[0.08719120919704437, 0.19748008251190186, 0.7153286933898926];2;SmokeOnly;True
