video;num_frames;frame_idx;elapsed_time;class_names;logits;probs;pred_label_idx;pred_label
aihub__lb_none__0175.mp4;360;1;0.002370689995586872;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;2;0.0025768789928406477;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;3;0.002120907069183886;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;4;0.0016786460764706135;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;5;0.0024518799036741257;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;6;0.0018463809974491596;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;7;0.0017597280675545335;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;8;0.0017868269933387637;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;9;0.00200019299518317;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;10;0.001909791026264429;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;11;0.0016332300147041678;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;12;0.0021445779129862785;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;13;0.002277504070661962;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;14;0.0016076309839263558;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;15;0.0016893569845706224;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;16;0.0018186389934271574;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;17;0.0016762888990342617;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;18;0.0020970209734514356;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;19;0.0016679340042173862;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;20;0.001769796945154667;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;21;0.0017572649521753192;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;22;0.002011226024478674;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;23;0.0027034840313717723;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;24;0.0017549089388921857;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;25;0.0022974259918555617;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;26;0.0020950939506292343;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;27;0.002074635005556047;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;28;0.0018672680016607046;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;29;0.0017655129777267575;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
aihub__lb_none__0175.mp4;360;30;0.001758335973136127;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped
