video;num_frames;frame_idx;elapsed_time;class_names;logits;probs;pred_label_idx;pred_label;eager_mode
aihub__lb_smoke__0208.mp4;360;1;0.05311582703143358;['Fire', 'None', 'SmokeOnly'];[-1.5110058784484863, 1.7728606462478638, -0.5508872866630554];[0.03301339969038963, 0.8807554244995117, 0.08623120188713074];1;None;True
aihub__lb_smoke__0208.mp4;360;2;0.04587942594662309;['Fire', 'None', 'SmokeOnly'];[-1.6920961141586304, 1.3980796337127686, 0.08148492872714996];[0.03463461250066757, 0.7613012790679932, 0.20406416058540344];1;None;True
aihub__lb_smoke__0208.mp4;360;3;0.04224305204115808;['Fire', 'None', 'SmokeOnly'];[-1.7046233415603638, 1.337868094444275, 0.17331081628799438];[0.03509094938635826, 0.7354148626327515, 0.2294941544532776];1;None;True
aihub__lb_smoke__0208.mp4;360;4;0.04060740093700588;['Fire', 'None', 'SmokeOnly'];[-1.6836974620819092, 1.3844836950302124, 0.0899600237607956];[0.035217318683862686, 0.7572694420814514, 0.20751330256462097];1;None;True
aihub__lb_smoke__0208.mp4;360;5;0.046191464993171394;['Fire', 'None', 'SmokeOnly'];[-1.6771776676177979, 1.3645808696746826, 0.10603270679712296];[0.03585391119122505, 0.750853955745697, 0.2132921814918518];1;None;True
aihub__lb_smoke__0208.mp4;360;6;0.04085248301271349;['Fire', 'None', 'SmokeOnly'];[-1.6883745193481445, 1.3422569036483765, 0.14971128106117249];[0.035720910876989365, 0.7397910952568054, 0.22448799014091492];1;None;True
aihub__lb_smoke__0208.mp4;360;7;0.04352553398348391;['Fire', 'None', 'SmokeOnly'];[-1.706574559211731, 1.3622636795043945, 0.14821654558181763];[0.03459339588880539, 0.7443422675132751, 0.22106434404850006];1;None;False
aihub__lb_smoke__0208.mp4;360;8;0.002048336900770664;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;9;0.001960868015885353;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;10;0.0018286560662090778;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;11;0.0019914769800379872;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;12;0.0021165680373087525;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;13;0.04504162003286183;['Fire', 'None', 'SmokeOnly'];[-1.7043439149856567, 1.6147525310516357, -0.2006993144750595];[0.030181005597114563, 0.8340632915496826, 0.1357557624578476];1;None;False
aihub__lb_smoke__0208.mp4;360;14;0.04649330105166882;['Fire', 'None', 'SmokeOnly'];[-1.6959009170532227, 1.6441442966461182, -0.2248321920633316];[0.02978469803929329, 0.8405361771583557, 0.12967917323112488];1;None;False
aihub__lb_smoke__0208.mp4;360;15;0.043096587993204594;['Fire', 'None', 'SmokeOnly'];[-1.6986297369003296, 1.6699001789093018, -0.2553574740886688];[0.029179753735661507, 0.8472577333450317, 0.1235625147819519];1;None;False
aihub__lb_smoke__0208.mp4;360;16;0.04292250098660588;['Fire', 'None', 'SmokeOnly'];[-1.6967917680740356, 1.6380549669265747, -0.21018457412719727];[0.029854178428649902, 0.8381286263465881, 0.13201716542243958];1;None;False
aihub__lb_smoke__0208.mp4;360;17;0.001829399960115552;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;18;0.0018770130118355155;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;19;0.002058007987216115;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;20;0.002061090082861483;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;21;0.0019217570079490542;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;22;0.0022030799882486463;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;23;0.0017231199890375137;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;24;0.0018210040871053934;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;25;0.0017095159273594618;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;26;0.002044191933237016;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;27;0.0017675439594313502;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;28;0.0017138730036094785;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;29;0.001823766971938312;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;30;0.0020243170438334346;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;31;0.001805381034500897;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;32;0.0016300179995596409;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;33;0.0018946549389511347;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;34;0.0018144139321520925;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;35;0.0016909170662984252;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;36;0.0015837859828025103;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;37;0.00352169806137681;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;38;0.001825254992581904;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;39;0.0018555439310148358;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;40;0.001717275008559227;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;41;0.0017484140116721392;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;42;0.05364212591666728;['Fire', 'None', 'SmokeOnly'];[-1.6256269216537476, 0.7063630819320679, 0.7637943625450134];[0.04503370076417923, 0.4637756943702698, 0.4911905825138092];2;SmokeOnly;True
aihub__lb_smoke__0208.mp4;360;43;0.04330383404158056;['Fire', 'None', 'SmokeOnly'];[-1.598456621170044, 0.6749996542930603, 0.7691977620124817];[0.04676121845841408, 0.45418763160705566, 0.49905112385749817];2;SmokeOnly;True
aihub__lb_smoke__0208.mp4;360;44;0.04161089798435569;['Fire', 'None', 'SmokeOnly'];[-1.5933687686920166, 0.6064659357070923, 0.8235358595848083];[0.047092895954847336, 0.4249437749385834, 0.5279633402824402];2;SmokeOnly;True
aihub__lb_smoke__0208.mp4;360;45;0.040157729992643;['Fire', 'None', 'SmokeOnly'];[-1.5998159646987915, 0.5988668203353882, 0.8330113291740417];[0.046719860285520554, 0.42109227180480957, 0.5321878790855408];2;SmokeOnly;True
aihub__lb_smoke__0208.mp4;360;46;0.04115665704011917;['Fire', 'None', 'SmokeOnly'];[-1.6075464487075806, 0.5938701033592224, 0.850023627281189];[0.04605278745293617, 0.4162162244319916, 0.5377309918403625];2;SmokeOnly;True
aihub__lb_smoke__0208.mp4;360;47;0.03949390398338437;['Fire', 'None', 'SmokeOnly'];[-1.6012343168258667, 0.521146833896637, 0.9313077330589294];[0.04558621346950531, 0.38069039583206177, 0.5737233757972717];2;SmokeOnly;True
aihub__lb_smoke__0208.mp4;360;48;0.04094430897384882;['Fire', 'None', 'SmokeOnly'];[-1.595533847808838, 0.49297839403152466, 0.9676439762115479];[0.04535171017050743, 0.3661195933818817, 0.5885286927223206];2;SmokeOnly;True
aihub__lb_smoke__0208.mp4;360;49;0.04187797999475151;['Fire', 'None', 'SmokeOnly'];[-1.4227476119995117, 0.6658872365951538, 0.4777211844921112];[0.06344003975391388, 0.5122076272964478, 0.4243523180484772];1;None;True
aihub__lb_smoke__0208.mp4;360;50;0.04114315891638398;['Fire', 'None', 'SmokeOnly'];[-1.4239377975463867, 0.6221510171890259, 0.5331071615219116];[0.06322728097438812, 0.48922601342201233, 0.44754666090011597];1;None;True
aihub__lb_smoke__0208.mp4;360;51;0.0417646860005334;['Fire', 'None', 'SmokeOnly'];[-1.5011684894561768, 0.7370458245277405, 0.49579116702079773];[0.05635962635278702, 0.5284601449966431, 0.4151802361011505];1;None;True
aihub__lb_smoke__0208.mp4;360;52;0.04275850998237729;['Fire', 'None', 'SmokeOnly'];[-1.4704300165176392, 0.594629168510437, 0.6267867684364319];[0.05872252583503723, 0.4630720913410187, 0.4782053828239441];2;SmokeOnly;True
aihub__lb_smoke__0208.mp4;360;53;0.04603948490694165;['Fire', 'None', 'SmokeOnly'];[-1.4215022325515747, 0.5996447205543518, 0.5644481182098389];[0.06315945088863373, 0.476662814617157, 0.4601777195930481];1;None;True
aihub__lb_smoke__0208.mp4;360;54;0.04443189094308764;['Fire', 'None', 'SmokeOnly'];[-1.5117743015289307, 0.5771899223327637, 0.674343466758728];[0.055626217275857925, 0.4492676258087158, 0.49510619044303894];2;SmokeOnly;True
aihub__lb_smoke__0208.mp4;360;55;0.05669523496180773;['Fire', 'None', 'SmokeOnly'];[-1.48830246925354, 0.5056827068328857, 0.736017644405365];[0.056844212114810944, 0.41750630736351013, 0.5256494283676147];2;SmokeOnly;True
aihub__lb_smoke__0208.mp4;360;56;0.04568132001440972;['Fire', 'None', 'SmokeOnly'];[-1.4442414045333862, 0.286552369594574, 0.9577249884605408];[0.05652909725904465, 0.31911423802375793, 0.6243566870689392];2;SmokeOnly;True
aihub__lb_smoke__0208.mp4;360;57;0.041809004032984376;['Fire', 'None', 'SmokeOnly'];[-1.4702982902526855, 0.3326217532157898, 0.9564906358718872];[0.0543779581785202, 0.3299294710159302, 0.6156925559043884];2;SmokeOnly;True
aihub__lb_smoke__0208.mp4;360;58;0.04203580506145954;['Fire', 'None', 'SmokeOnly'];[-1.5091036558151245, 0.7229638695716858, 0.5315093398094177];[0.055511023849248886, 0.5173135995864868, 0.427175372838974];1;None;True
aihub__lb_smoke__0208.mp4;360;59;0.04183631797786802;['Fire', 'None', 'SmokeOnly'];[-1.479936957359314, 0.9215749502182007, 0.2602996826171875];[0.056374408304691315, 0.6223652362823486, 0.32126036286354065];1;None;True
aihub__lb_smoke__0208.mp4;360;60;0.039884589961729944;['Fire', 'None', 'SmokeOnly'];[-1.4936186075210571, 1.0412070751190186, 0.11608428508043289];[0.053718507289886475, 0.6776177287101746, 0.2686637341976166];1;None;True
aihub__lb_smoke__0208.mp4;360;61;0.039400378009304404;['Fire', 'None', 'SmokeOnly'];[-1.4185597896575928, 0.5885193347930908, 0.5568847060203552];[0.06389216333627701, 0.47545668482780457, 0.4606512188911438];1;None;True
aihub__lb_smoke__0208.mp4;360;62;0.039139672997407615;['Fire', 'None', 'SmokeOnly'];[-1.333088994026184, 0.6465767621994019, 0.40030956268310547];[0.07194151729345322, 0.5208798050880432, 0.40717869997024536];1;None;True
aihub__lb_smoke__0208.mp4;360;63;0.03927730501163751;['Fire', 'None', 'SmokeOnly'];[-1.496002435684204, 0.8506317138671875, 0.37569329142570496];[0.05571140721440315, 0.5822029709815979, 0.36208561062812805];1;None;True
aihub__lb_smoke__0208.mp4;360;64;0.04024020303040743;['Fire', 'None', 'SmokeOnly'];[-1.4589743614196777, 0.7764557003974915, 0.4217166006565094];[0.059141725301742554, 0.553004801273346, 0.3878534734249115];1;None;False
aihub__lb_smoke__0208.mp4;360;65;0.0021874569356441498;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;66;0.001985737937502563;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;67;0.0018809459870681167;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;68;0.002042490988969803;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;69;0.002026124973781407;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;70;0.002251649973914027;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;71;0.0434608100913465;['Fire', 'None', 'SmokeOnly'];[-1.6331936120986938, 0.9662373065948486, 0.4782218039035797];[0.04402182623744011, 0.5923612117767334, 0.3636170029640198];1;None;False
aihub__lb_smoke__0208.mp4;360;72;0.044020693050697446;['Fire', 'None', 'SmokeOnly'];[-1.6111027002334595, 0.8880845904350281, 0.5349171757698059];[0.046033408492803574, 0.5603460669517517, 0.39362049102783203];1;None;False
aihub__lb_smoke__0208.mp4;360;73;0.051642359932884574;['Fire', 'None', 'SmokeOnly'];[-1.6350167989730835, 1.6448880434036255, -0.33450454473495483];[0.03200571611523628, 0.8504956364631653, 0.11749864369630814];1;None;False
aihub__lb_smoke__0208.mp4;360;74;0.0428913600044325;['Fire', 'None', 'SmokeOnly'];[-1.6525635719299316, 1.622320294380188, -0.28070881962776184];[0.031864576041698456, 0.8425043225288391, 0.12563107907772064];1;None;False
aihub__lb_smoke__0208.mp4;360;75;0.04300029797013849;['Fire', 'None', 'SmokeOnly'];[-1.6729313135147095, 1.645814299583435, -0.27386972308158875];[0.03060249611735344, 0.8454146385192871, 0.12398282438516617];1;None;False
aihub__lb_smoke__0208.mp4;360;76;0.04210371908266097;['Fire', 'None', 'SmokeOnly'];[-1.6792439222335815, 1.6209871768951416, -0.2500462234020233];[0.03096526674926281, 0.8397440314292908, 0.12929074466228485];1;None;False
aihub__lb_smoke__0208.mp4;360;77;0.041334145003929734;['Fire', 'None', 'SmokeOnly'];[-1.7215951681137085, 1.6003050804138184, -0.17094005644321442];[0.029915466904640198, 0.8290463089942932, 0.1410382091999054];1;None;False
aihub__lb_smoke__0208.mp4;360;78;0.042276424006558955;['Fire', 'None', 'SmokeOnly'];[-1.7857013940811157, 1.3900095224380493, 0.16264909505844116];[0.03128819167613983, 0.7491593360900879, 0.2195524424314499];1;None;False
aihub__lb_smoke__0208.mp4;360;79;0.04139833792578429;['Fire', 'None', 'SmokeOnly'];[-1.7877373695373535, 1.3918637037277222, 0.17149777710437775];[0.03112252801656723, 0.7480973601341248, 0.2207801192998886];1;None;False
aihub__lb_smoke__0208.mp4;360;80;0.001782211009413004;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;81;0.0020398349734023213;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;82;0.0019045399967581034;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;83;0.0017587229376658797;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;84;0.0017087720334529877;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;85;0.0020639599533751607;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;86;0.001897524925880134;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;87;0.0020941440016031265;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;88;0.0018337570363655686;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;89;0.0020405780524015427;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;90;0.0016607340658083558;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;91;0.001789545058272779;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;92;0.0018309939187020063;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;93;0.0021291100420057774;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;94;0.0018624520162120461;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;95;0.0020098640816286206;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;96;0.0018027230398729444;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
aihub__lb_smoke__0208.mp4;360;97;0.0019075149903073907;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;False
