Video dataset;Method;Accuracy;F1-score;TPR ;FPR ;FNR ;TNR ;FPS
DFire  \citeproc{ref-dfiredataset}{{[}23{]}};FireNet \citeproc{ref-jadon2019firenet}{{[}47{]}};54.00;0.50;46.00;38.00;54.00;62.00;30.64
DFire ;MobileNet \citeproc{ref-mukhopadhyay2019fpga}{{[}48{]}};35.00;0.00;0.00;30.00;100.00;70.00;25.79
DFire ;YOLOv5s;68.57;0.76;97.14;60.00;2.86;40.00;84.73
DFire ;YOLOv5s+TPT ;71.43;0.76;91.43;48.57;8.57;51.43;84.63
DFire ;YOLOv5s+AVT;72.86;0.78;97.14;51.43;2.86;48.57;83.05
DFire;YOLOv5s+CF;74.29;0.79;97.14;48.57;2.86;51.43;84.72
DFire ;YOLOv5l;60.00;0.71;100.00;80.00;0.00;20.00;51.92
DFire ;YOLOv5l+TPT;71.43;0.77;97.14;54.29;2.86;45.71;51.88
DFire ;YOLOv5l+AVT;65.71;0.75;100.00;68.57;0.00;31.43;51.50
DFire ;YOLOv5l+CF;71.43;0.77;94.29;51.43;5.71;48.57;51.91
DFire ;YOLOv8s;61.43;0.72;100.00;77.14;0.00;22.86;63.45
DFire ;YOLOv8s + CF;70.00;0.75;91.43;51.43;8.57;48.57;63.44
DFire ;YOLOv8l;74.29;0.80;100.00;51.43;0.00;48.57;42.47
DFire ;YOLOv8l+ CF;77.13;0.80;94.29;40.00;5.72;60.00;42.40
FireNet  \citeproc{ref-jadon2019firenet}{{[}47{]}};FireNet \citeproc{ref-jadon2019firenet}{{[}47{]}};87.10;0.92;95.65;37.50;4.35;62.50;30.20
FireNet ;MobileNet \citeproc{ref-mukhopadhyay2019fpga}{{[}48{]}};93.55;0.96;95.65;12.50;4.35;87.50;26.81
FireNet ;YOLOv5s;91.94;0.95;100.00;31.25;0.00;68.75;81.27
FireNet ;YOLOv5s+TPT;95.16;0.97;97.83;12.50;2.17;87.50;81.04
FireNet ;YOLOv5s+AVT;90.32;0.94;95.65;25.00;4.35;75.00;79.47
FireNet ;YOLOv5s+CF;95.16;0.97;100.00;18.25;0.00;81.75;81.04
FireNet ;YOLOv5l;93.55;0.96;100.00;25.00;0.00;75.00;49.92
FireNet ;YOLOv5l+TPT;95.16;0.97;97.83;12.50;2.17;87.50;49.84
FireNet ;YOLOv5l+AVT;93.55;0.96;97.83;18.75;2.17;81.25;49.40
FireNet ;YOLOv5l+CF;93.55;0.96;95.65;12.50;4.35;87.50;49.90
FireNet ;YOLOv8s;95.16;0.97;100.00;18.75;0.00;81.25;61.10
FireNet ;YOLOv8s + CF;96.77;0.98;100.00;12.50;0.00;87.50;61.01
FireNet ;YOLOv8l;93.55;0.96;95.65;12.50;4.35;87.50;39.14
FireNet ;YOLOv8l + CF;90.32;0.93;89.13;6.25;10.87;93.75;39.10
