Method;Parameters;;;;;;;; Metrics;;;;Ranking Score
Exp.;Scale factor $\alpha$;Block size $B$;Block active threshold $\tau$;Diff threshold $\tau_d$;Motion increment $\omega$;Activation threshold $\tau_m$;Acc. cap $K_{\max}$;Decay rate $\delta$;Recall (\%) $\uparrow$;FPR (\%) $\downarrow$;Skip Rate (\%) $\uparrow$;FPS $\uparrow$;Combined Score $\uparrow$
Baseline (No Skip module);-;-;-;-;-;-;-;-;\textbf{\textcolor{black}{94.35}} (-0.00);\textbf{\textcolor{black}{0.74}};0.0;24.1;-
AccMotionDet;0.5;32.0;0.05;5.0;5.0;5.0;15.0;1.0;93.9 (-0.45);\textbf{\textcolor{black}{0.74}};\textbf{\textcolor{black}{44.39}};\textbf{\textcolor{black}{36.6}};\textbf{\textcolor{black}{0.5203}}
AccMotionDet;0.5;32.0;0.05;5.0;5.0;5.0;25.0;1.0;93.92 (-0.42);\textbf{\textcolor{black}{0.74}};\underline{\textcolor{black}{42.89}};36.0;\underline{\textcolor{black}{0.5153}}
AccMotionDet;0.5;32.0;0.05;5.0;5.0;5.0;35.0;1.0;93.93 (-0.42);\textbf{\textcolor{black}{0.74}};42.38;35.8;0.5130
AccMotionDet;0.5;32.0;0.1;3.0;5.0;5.0;15.0;1.0;\underline{\textcolor{black}{94.02}} (-0.33);\textbf{\textcolor{black}{0.74}};39.76;34.8;0.5126
AccMotionDet;0.5;32.0;0.1;3.0;5.0;5.0;25.0;1.0;\underline{\textcolor{black}{94.02}} (-0.33);\textbf{\textcolor{black}{0.74}};39.36;34.6;0.5097
AccMotionDet;0.5;32.0;0.1;3.0;5.0;5.0;35.0;1.0;\underline{\textcolor{black}{94.02}} (-0.33);\textbf{\textcolor{black}{0.74}};39.09;34.5;0.5078
AccMotionDet;0.5;32.0;0.05;3.0;5.0;10.0;15.0;1.0;93.81 (-0.53);\textbf{\textcolor{black}{0.74}};42.63;\underline{\textcolor{black}{36.1}};0.4915
AccMotionDet;0.5;32.0;0.05;3.0;5.0;10.0;25.0;1.0;93.85 (-0.49);\textbf{\textcolor{black}{0.74}};41.41;35.5;0.4912
AccMotionDet;0.5;16.0;0.1;5.0;5.0;5.0;15.0;1.0;93.99 (-0.36);\textbf{\textcolor{black}{0.74}};37.4;33.1;0.4906
