ref_key;label
ref-californiafire:online;{[}1{]}
ref-southkoreafire:online;{[}2{]}
ref-cheng2024visual;{[}3{]}
ref-gragnaniello2024fire;{[}4{]}
ref-geng2024yolofm;{[}5{]}
ref-khan2025optimized;{[}6{]}
ref-khan2025beyond;{[}7{]}
ref-cao2019attention;{[}8{]}
ref-ali2025toward;{[}9{]}
ref-de2023hybrid;{[}10{]}
ref-gragnaniello2025flame;{[}11{]}
ref-sobral2014comprehensive;{[}12{]}
ref-garcia2020background;{[}13{]}
ref-zivkovic2006efficient;{[}14{]}
ref-ghodrati2021frameexit;{[}15{]}
ref-yu2013real;{[}16{]}
ref-jadon2019firenet;{[}17{]}
ref-Firesens4:online;{[}18{]}
ref-cazzolato2017fismo;{[}19{]}
ref-steffens2015unconstrained;{[}20{]}
ref-dfiredataset;{[}21{]}
ref-VisiFireBilkent:online;{[}22{]}
ref-KMUFireSmokeDataset;{[}23{]}
ref-foggia2015real;{[}24{]}
ref-lin2017smoke;{[}25{]}
ref-AIHub87:online;{[}26{]}
ref-huang2022fire;{[}27{]}
ref-onal2024video;{[}28{]}
ref-deniz2024optimized;{[}29{]}
ref-rohrbach2016recognizing;{[}30{]}
ref-marroquin2019wisenet;{[}31{]}
ref-steffens2016non;{[}32{]}
ref-mukhopadhyay2019fpga;{[}33{]}
ref-JocherYOLOv5byUltralytics2020;{[}34{]}
ref-hgnetv2timm:online;{[}35{]}
ref-rw2019timm;{[}36{]}
ref-cui2021beyond;{[}37{]}
ref-hgnetv2PaddleCl7:online;{[}38{]}
ref-kingma2014adam;{[}39{]}
ref-hestness2017deep;{[}40{]}
ref-alabdulmohsin2022revisiting;{[}41{]}
ref-bahri2024explaining;{[}42{]}
