experiment;Combined_Score;metric_recall (tpr);metric_fpr (false alarm rate);skip_rate;recall_retention;far_reduction_norm;w_S;w_F;w_R;delta_R;metric_accuracy;metric_f1_score;metric_fps;metric_precision;skip_proc.name;skip_proc.params.scale_factor;skip_proc.params.block_size_orig;skip_proc.params.block_ratio_th;skip_proc.params.motion.name;skip_proc.params.motion.params.diff_frame_th;skip_proc.params.motion.params.impact_plus_one;skip_proc.params.motion.params.mask_th;skip_proc.params.motion.params.max_val;skip_proc.params.motion.params.decay
MainPC__ds_UFireIndoorVal__mt_no_temp_method__af4b0d32a3d2__20260327.162459_per_frame;-1.0;0.9434738159179688;0.0074028703384101;0.0;1.0;0.0;;;;;0.9826026558876038;0.956648588180542;24.05961036682129;0.9701966047286988;;;;;;;;;;
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__36b5e12e627b__20260331.203240_per_frame;0.3768277345141085;0.9389516711235046;0.0073678684420883;0.443875;0.5477855205535889;0.004728152016953697;0.6;0.2;0.2;0.01;0.9817104339599608;0.954317569732666;36.61497116088867;0.970194697380066;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__d248962925c9__20260331.203241_per_frame;0.3737517207079562;0.940185010433197;0.0073678684420883;0.397637;0.6711194515228271;0.004728152016953697;0.6;0.2;0.2;0.01;0.9819613695144652;0.954972505569458;34.79747009277344;0.9702326059341432;motion_only_block_skip_proc;0.5;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__87629e1c52c9__20260331.203240_per_frame;0.3733413776476556;0.939225733280182;0.0073678684420883;0.42892899999999995;0.5751917362213246;0.004728152016953697;0.6;0.2;0.2;0.01;0.9817662239074708;0.9544631838798524;36.02359771728516;0.9702031016349792;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__72005fb7c84a__20260331.203241_per_frame;0.37161448447748746;0.9392942786216736;0.0073678684420883;0.42376600000000003;0.5820462703704834;0.004728152016953697;0.6;0.2;0.2;0.01;0.981780171394348;0.9544995427131652;35.81389236450195;0.9702052474021912;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__422171b6e4be__20260331.203241_per_frame;0.3713055207079562;0.940185010433197;0.0073678684420883;0.39356;0.6711194515228271;0.004728152016953697;0.6;0.2;0.2;0.01;0.9819613695144652;0.954972505569458;34.62652969360352;0.9702326059341432;motion_only_block_skip_proc;0.5;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__3d52681fb50b__20260331.203241_per_frame;0.36968852070795616;0.940185010433197;0.0073678684420883;0.390865;0.6711194515228271;0.004728152016953697;0.6;0.2;0.2;0.01;0.9819613695144652;0.954972505569458;34.516265869140625;0.9702326059341432;motion_only_block_skip_proc;0.5;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__ac81fe0bbf17__20260331.203240_per_frame;0.3540948775744112;0.9399109482765198;0.0073678684420883;0.374011;0.6437132358551025;0.004728152016953697;0.6;0.2;0.2;0.01;0.9819056391716005;0.9548270106315612;33.0780143737793;0.9702242016792296;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__0cc2b65f71af__20260331.203240_per_frame;0.3512172850154865;0.9385405778884888;0.0073503674939274;0.41410600000000003;0.506676197052002;0.007092228025430488;0.6;0.2;0.2;0.01;0.9816407561302184;0.9541322588920592;35.519744873046875;0.9702507257461548;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__b28eb1293e74__20260331.203240_per_frame;0.3503142203151669;0.9381294846534728;0.0073503674939274;0.426304;0.46556687355040394;0.007092228025430488;0.6;0.2;0.2;0.01;0.9815571308135986;0.953913688659668;36.06563186645508;0.9702380895614624;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__5a736d4bf78e__20260331.203243_per_frame;0.34964734917780704;0.9397053718566896;0.0073678684420883;0.37345100000000003;0.6231555938720814;0.004728152016953697;0.6;0.2;0.2;0.01;0.981863796710968;0.9547178745269777;32.214805603027344;0.9702178835868835;motion_only_block_skip_proc;1.0;32.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__e1ecccc4a04d__20260331.203240_per_frame;0.34932787757441125;0.9399109482765198;0.0073678684420883;0.366066;0.6437132358551025;0.004728152016953697;0.6;0.2;0.2;0.01;0.9819056391716005;0.9548270106315612;32.750667572021484;0.9702242016792296;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__eacab18f79e4__20260331.203240_per_frame;0.3486654850154865;0.9385405778884888;0.0073503674939274;0.409853;0.506676197052002;0.007092228025430488;0.6;0.2;0.2;0.01;0.9816407561302184;0.9541322588920592;35.33316802978516;0.9702507257461548;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__e8c9ca1953a0__20260331.203243_per_frame;0.34820425600763877;0.9397739171981812;0.0073678684420883;0.368761;0.6300101280212402;0.004728152016953697;0.6;0.2;0.2;0.01;0.9818777441978456;0.9547542929649352;31.98714065551757;0.9702199697494508;motion_only_block_skip_proc;1.0;32.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__cff7c937d294__20260331.203240_per_frame;0.34772107757441123;0.9399109482765198;0.0073678684420883;0.363388;0.6437132358551025;0.004728152016953697;0.6;0.2;0.2;0.01;0.9819056391716005;0.9548270106315612;32.62428665161133;0.9702242016792296;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__aaeb0452ad7c__20260331.203244_per_frame;0.3474273854082714;0.9405961036682128;0.0073678684420883;0.34006000000000003;0.712228775024403;0.004728152016953697;0.6;0.2;0.2;0.01;0.98204505443573;0.955190658569336;31.155733108520508;0.9702452421188354;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__9b35685ea8bb__20260331.203244_per_frame;0.3463982560076388;0.9397739171981812;0.0073678684420883;0.365751;0.6300101280212402;0.004728152016953697;0.6;0.2;0.2;0.01;0.9818777441978456;0.9547542929649352;31.904705047607425;0.9702199697494508;motion_only_block_skip_proc;1.0;32.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__81fc984c96fd__20260331.203239_per_frame;0.3451161281490314;0.938814640045166;0.0073503674939274;0.39480200000000004;0.5340824127197266;0.007092228025430488;0.6;0.2;0.2;0.01;0.9816965460777284;0.9542779326438904;34.00828170776367;0.9702591896057128;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__1ee7ba54e8df__20260331.203244_per_frame;0.33907898540827136;0.9405961036682128;0.0073678684420883;0.32614600000000005;0.712228775024403;0.004728152016953697;0.6;0.2;0.2;0.01;0.98204505443573;0.955190658569336;30.66535186767578;0.9702452421188354;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__81b4bcec1fed__20260331.203244_per_frame;0.33545678540827134;0.9405961036682128;0.0073678684420883;0.320109;0.712228775024403;0.004728152016953697;0.6;0.2;0.2;0.01;0.98204505443573;0.955190658569336;30.54496383666992;0.9702452421188354;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__fc28557bcf91__20260331.203241_per_frame;0.3353135840847026;0.9372387528419496;0.0073503674939274;0.43099400000000004;0.3764936923980824;0.007092228025430488;0.6;0.2;0.2;0.01;0.9813758730888368;0.9534397721290588;36.21589660644531;0.9702106714248656;motion_only_block_skip_proc;0.5;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__5cc01d8557fd__20260331.203243_per_frame;0.334695170278548;0.9384720921516418;0.0073503674939274;0.388852;0.49982762336730957;0.007092228025430488;0.6;0.2;0.2;0.01;0.9816268086433412;0.9540958404541016;32.96381378173828;0.9702486395835876;motion_only_block_skip_proc;1.0;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;15.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__2f5de28ea4d5__20260331.203240_per_frame;0.3346155281490314;0.938814640045166;0.0073503674939274;0.377301;0.5340824127197266;0.007092228025430488;0.6;0.2;0.2;0.01;0.9816965460777284;0.9542779326438904;33.24802017211914;0.9702591896057128;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__073327051dc0__20260331.203244_per_frame;0.33408646244468787;0.9377869367599488;0.0073503674939274;0.410676;0.43131208419800915;0.007092228025430488;0.6;0.2;0.2;0.01;0.9814873933792114;0.9537314176559448;33.704891204833984;0.9702275395393372;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;25.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__bff395cccb2e__20260331.203241_per_frame;0.3332237840847026;0.9372387528419496;0.0073503674939274;0.42751100000000003;0.3764936923980824;0.007092228025430488;0.6;0.2;0.2;0.01;0.9813758730888368;0.9534397721290588;36.09743118286133;0.9702106714248656;motion_only_block_skip_proc;0.5;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__06b5047cd6ef__20260331.203240_per_frame;0.33182252814903146;0.938814640045166;0.0073503674939274;0.37264600000000003;0.5340824127197266;0.007092228025430488;0.6;0.2;0.2;0.01;0.9816965460777284;0.9542779326438904;33.01397705078125;0.9702591896057128;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__f2298a84e701__20260331.203244_per_frame;0.3311146624446879;0.9377869367599488;0.0073503674939274;0.405723;0.43131208419800915;0.007092228025430488;0.6;0.2;0.2;0.01;0.9814873933792114;0.9537314176559448;33.520938873291016;0.9702275395393372;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__6daf0249c00a__20260331.203241_per_frame;0.32878139448725524;0.933538854122162;0.0073678684420883;0.544225;0.006503820419322626;0.004728152016953697;0.6;0.2;0.2;0.01;0.9806091785430908;0.95143324136734;41.18187713623047;0.9700270295143129;motion_only_block_skip_proc;0.5;32.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;35.0;1.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__66a366cba842__20260331.203244_per_frame;0.32028747625083803;0.9365535974502563;0.0073503674939274;0.42878900000000003;0.30797815322875977;0.007092228025430488;0.6;0.2;0.2;0.01;0.9812365174293518;0.953074872493744;34.3631706237793;0.9701895117759703;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;15.0;1.0
