no.;select;experiment;Combined_Score;metric_recall (tpr);metric_fpr (false alarm rate);skip_rate;Recall_Drop;recall_retention;recall_retention_norm;skip_rate_norm;w_S;w_R;delta_R;metric_accuracy;metric_f1_score;metric_fps;metric_precision;skip_proc.name;skip_proc.params.scale_factor;skip_proc.params.block_size_orig;skip_proc.params.block_ratio_th;skip_proc.params.motion.name;skip_proc.params.motion.params.diff_frame_th;skip_proc.params.motion.params.impact_plus_one;skip_proc.params.motion.params.mask_th;skip_proc.params.motion.params.max_val;skip_proc.params.motion.params.decay;skip_proc.params.n_chk;skip_proc.params.w_clr;skip_proc.params.fire_confirm_k
0;x;MainPC__ds_UFireIndoorVal__mt_no_temp_method__af4b0d32a3d2__20260421.140547_per_frame;9999;0.943473816;0.00740287;0;0;1;;;;;;0.982602656;0.956648588;24.66170692;0.970196605;;;;;;;;;;;;;
1;x;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block__36b5e12e627b__20260331.203240_per_frame;9998;0.938951671;0.007367868;0.443875;;;;;;;;0.981710434;0.95431757;36.61497116;0.970194697;;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;;;
2;x;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__5324928ab864__20260515.190034_per_frame;0.994586725;0.943473816;0.00740287;0.437189;0;1;1;0.992266749;0.7;0.3;0.015;0.982602656;0.956648588;36.41918564;0.970196605;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;50;7;1
3;x;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__3405fa075712__20260515.190032_per_frame;0.963744421;0.943473816;0.00740287;0.433497;0;1;1;0.948206315;0.7;0.3;0.015;0.982602656;0.956648588;36.26229095;0.970196605;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;30;7;1
4;x;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__4241b396c570__20260515.190033_per_frame;0.955265293;0.943473816;0.007367868;0.432482;0;1;1;0.936093276;0.7;0.3;0.015;0.982630491;0.956715047;36.19160843;0.970333338;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;50;3;2
5;x;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__58c6d0d07ad9__20260515.190034_per_frame;0.950144402;0.943473816;0.00740287;0.431869;0;1;1;0.928777717;0.7;0.3;0.015;0.982602656;0.956648588;36.1777153;0.970196605;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;50;7;2
6;x;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__ce9f83232080__20260515.190033_per_frame;0.911549753;0.943473816;0.007367868;0.427249;0;1;1;0.873642504;0.7;0.3;0.015;0.982630491;0.956715047;35.96178436;0.970333338;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;50;3;3
7;x;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__15a718916cdd__20260515.190034_per_frame;0.906721245;0.943473816;0.00740287;0.426671;0;1;1;0.866744636;0.7;0.3;0.015;0.982602656;0.956648588;35.94685364;0.970196605;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;50;7;3
8;x;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__e27a5caf19d5__20260515.190031_per_frame;0.898534501;0.943473816;0.00740287;0.425691;0;1;1;0.855049288;0.7;0.3;0.015;0.982602656;0.956648588;35.93496323;0.970196605;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;20;7;1
9;x;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__1888db48bf88__20260515.190032_per_frame;0.895761033;0.943473816;0.007367868;0.425359;0;1;1;0.85108719;0.7;0.3;0.015;0.982630491;0.956715047;35.89388275;0.970333338;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;30;3;2
10;x;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__905de03d83c9__20260515.190032_per_frame;0.890498126;0.943473816;0.00740287;0.424729;0;1;1;0.843568752;0.7;0.3;0.015;0.982602656;0.956648588;35.88512802;0.970196605;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;30;7;2
11;x;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__9ec38062c8a1__20260515.190032_per_frame;0.827485261;0.943473816;0.007367868;0.417186;0;1;1;0.753550374;0.7;0.3;0.015;0.982630491;0.956715047;35.56393433;0.970333338;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;30;3;3
12;x;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__f9f728dba984__20260515.190033_per_frame;0.822071986;0.943473816;0.00740287;0.416538;0;1;1;0.745817123;0.7;0.3;0.015;0.982602656;0.956648588;35.54312134;0.970196605;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;30;7;3
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__890a86e00626__20260515.190031_per_frame;0.773979044;0.943473816;0.007367868;0.410781;0;1;1;0.67711292;0.7;0.3;0.015;0.982630491;0.956715047;35.38209915;0.970333338;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;20;3;2
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__2db6e274daa0__20260515.190031_per_frame;0.768565768;0.943473816;0.00740287;0.410133;0;1;1;0.669379669;0.7;0.3;0.015;0.982602656;0.956648588;35.30140686;0.970196605;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;20;7;2
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__4513d85e16c8__20260515.172906_per_frame;0.768423753;0.943473816;0.00740287;0.410116;0;1;1;0.669176791;0.7;0.3;0.015;0.982602656;0.956648588;35.35610199;0.970196605;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;10;7;1
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__aeb8bd74cd9b__20260515.190033_per_frame;0.7;0.943405271;0.007367868;0.437837;6.85E-05;0.995430311;0;1;0.7;0.3;0.015;0.982616603;0.956678808;36.4340477;0.970331192;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;50;3;1
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__aa62e4740f95__20260515.190033_per_frame;0.696783779;0.943405271;0.007367868;0.437452;6.85E-05;0.995430311;0;0.995405399;0.7;0.3;0.015;0.982616603;0.956678808;36.397686;0.970331192;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;50;5;1
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__ef03ca5afdce__20260515.190032_per_frame;0.668714944;0.943405271;0.007367868;0.434092;6.85E-05;0.995430311;0;0.955307063;0.7;0.3;0.015;0.982616603;0.956678808;36.25167847;0.970331192;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;30;3;1
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__9a18464a0e95__20260515.190032_per_frame;0.665498723;0.943405271;0.007367868;0.433707;6.85E-05;0.995430311;0;0.950712462;0.7;0.3;0.015;0.982616603;0.956678808;36.25539398;0.970331192;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;30;5;1
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__9584f91fdf72__20260515.190033_per_frame;0.652191088;0.943405271;0.007385369;0.432114;6.85E-05;0.995430311;0;0.931701554;0.7;0.3;0.015;0.982602656;0.956645608;36.16875839;0.970262825;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;50;5;2
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__a78acb1e02cd__20260515.190031_per_frame;0.649122849;0.943473816;0.007367868;0.395835;0;1;1;0.498746927;0.7;0.3;0.015;0.982630491;0.956715047;34.7077713;0.970333338;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;20;3;3
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__23f65625a5f3__20260515.190031_per_frame;0.642690407;0.943473816;0.00740287;0.395065;0;1;1;0.489557725;0.7;0.3;0.015;0.982602656;0.956648588;34.68460083;0.970196605;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;20;7;3
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__603565cf1113__20260515.190033_per_frame;0.608183163;0.943405271;0.007385369;0.426846;6.85E-05;0.995430311;0;0.868833091;0.7;0.3;0.015;0.982602656;0.956645608;35.96402359;0.970262825;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;50;5;3
;;MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block_eager__1fb464a7058a__20260515.190030_per_frame;0.603797408;0.943405271;0.007367868;0.426321;6.85E-05;0.995430311;0;0.862567726;0.7;0.3;0.015;0.982616603;0.956678808;36.00759506;0.970331192;motion_only_block_skip_proc_eager;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1;20;3;1
