select;no.;experiment;Combined_Score;metric_recall (tpr);metric_fpr (false alarm rate);skip_rate;Recall_Drop;recall_retention;recall_retention_norm;skip_rate_norm;w_S;w_R;delta_R;metric_accuracy;metric_f1_score;metric_fps;metric_precision;skip_proc.name;skip_proc.params.scale_factor;skip_proc.params.block_size_orig;skip_proc.params.block_ratio_th;skip_proc.params.motion.name;skip_proc.params.motion.params.diff_thresh
x;0;MainPC__ds_UFireIndoorVal__mt_no_temp_method__af4b0d32a3d2__20260327.162459_per_frame;-1;0.943473816;0.00740287;0;0;1;;;;;;0.982602656;0.956648588;24.66170692;0.970196605;;;;;;
x;1;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__945c8947ecc5__20260331.152012_per_frame;0.804633714;0.939705372;0.007367868;0.009363;0.003768444;0.748770396;0.677417544;0.85915493;0.7;0.3;0.015;0.981863797;0.954717875;23.32037735;0.970217884;motion_only_block_skip_proc;0.5;16;0.05;framediff_det.FrameDiffDet;3
x;2;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__837e48446598__20260331.152014_per_frame;0.7;0.935388803;0.007367868;0.009713;0.008085012;0.460999171;0;1;0.7;0.3;0.015;0.980985582;0.952420831;22.26166725;0.970084548;motion_only_block_skip_proc;1;16;0.1;framediff_det.FrameDiffDet;3
x;3;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__2267533dfdb4__20260331.152014_per_frame;0.3;0.941760898;0.007367868;0.007228;0.001712918;0.885805448;1;0;0.7;0.3;0.015;0.982281983;0.955808222;22.01734;0.970280945;motion_only_block_skip_proc;1;16;0.05;framediff_det.FrameDiffDet;3
x;6;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__2bba13c27066__20260331.152014_per_frame;;0.920520723;0.007367868;0.015331;0.022953093;-0.530206203;;;0.7;0.3;0.015;0.977960527;0.944430768;22.52991;0.969616055;motion_only_block_skip_proc;1;16;0.15;framediff_det.FrameDiffDet;3
x;14;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__50527f9e64ac__20260331.152014_per_frame;;0.9162727;0.007367868;0.024309;0.027201116;-0.813407739;;;0.7;0.3;0.015;0.97709626;0.942125499;23.16249;0.969479501;motion_only_block_skip_proc;1;32;0.05;framediff_det.FrameDiffDet;3
x;16;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__59ec03b3dfd1__20260331.152013_per_frame;;0.845563531;0.007297865;0.595275;0.097910285;-5.527352333;;;0.7;0.3;0.015;0.962765753;0.902350724;45.53909;0.967314601;motion_only_block_skip_proc;0.5;32;0.05;framediff_det.FrameDiffDet;10
x;22;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__765b5f23d629__20260331.152014_per_frame;;0.914628327;0.007367868;0.019391;0.028845489;-0.923032602;;;0.7;0.3;0.015;0.976761699;0.941230416;22.60217;0.969426274;motion_only_block_skip_proc;1;16;0.05;framediff_det.FrameDiffDet;5
x;34;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__a62ee9d51664__20260331.152012_per_frame;;0.881877363;0.007332867;0.489989;0.061596453;-3.106430213;;;0.7;0.3;0.015;0.970126152;0.923148632;38.30999;0.96847254;motion_only_block_skip_proc;0.5;16;0.05;framediff_det.FrameDiffDet;10
x;37;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__bfb5a3fef680__20260331.152013_per_frame;;0.90983212;0.007367868;0.071124;0.033641696;-1.242779732;;;0.7;0.3;0.015;0.975785851;0.93861109;25.31789;0.969270051;motion_only_block_skip_proc;0.5;32;0.05;framediff_det.FrameDiffDet;3
x;42;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__d674fe01c642__20260331.152012_per_frame;;0.888729036;0.007332867;0.472174;0.05474478;-2.649652004;;;0.7;0.3;0.015;0.971520185;0.926996589;37.34492;0.968707979;motion_only_block_skip_proc;0.5;16;0.1;framediff_det.FrameDiffDet;7
x;43;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__d7e072dec3fc__20260331.152012_per_frame;;0.928331614;0.007367868;0.013458;0.015142202;-0.009480158;;;0.7;0.3;0.015;0.979549706;0.948643446;23.59516;0.969864011;motion_only_block_skip_proc;0.5;16;0.1;framediff_det.FrameDiffDet;3
x;45;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__ed9ad030e11b__20260331.152012_per_frame;;0.905515611;0.007367868;0.062286;0.037958205;-1.530546983;;;0.7;0.3;0.015;0.974907637;0.93624258;24.68292;0.969128132;motion_only_block_skip_proc;0.5;16;0.05;framediff_det.FrameDiffDet;5
x;46;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__f570e648fe05__20260331.152013_per_frame;;0.914491236;0.007367868;0.039202;0.02898258;-0.932171981;;;0.7;0.3;0.015;0.976733804;0.941155732;24.27382;0.969421864;motion_only_block_skip_proc;0.5;16;0.15;framediff_det.FrameDiffDet;3
