Metric;metric_accuracy;metric_f1_score;metric_fpr (false alarm rate);metric_fps;metric_precision;metric_recall (tpr)
4GPU_SV__ds_UFireIndoorTest__mt_no_temp_method__af4b0d32a3d2__20260303.180228_per_frame;0.987672687;0.973587275;0.002505816;19.72655487;0.991661489;0.956160128
yolov5s_notemp_per_frame;0.846122265;0.679292202;0.103923142;109.9373322;0.672867;0.685841322
yolov8s_run4_seed56_notemp_per_frame;0.851388216;0.644092262;0.059644159;91.65969086;0.747300208;0.565932572
yolov8s_run3_seed55_notemp_per_frame;0.821002364;0.593758523;0.094696864;96.34050751;0.644367158;0.550520658
yolov8s_run5_seed57_notemp_per_frame;0.770861149;0.529345632;0.1579023;91.39102173;0.516999006;0.54229635
yolov8s_run1_seed54_notemp_per_frame;0.808521807;0.556339085;0.096958555;92.93512726;0.618918598;0.505252481
yolov8s_run2_seed52_notemp_per_frame;0.725328982;0.462174952;0.203409061;83.01145172;0.432150722;0.496682644
yolov5l_notemp_per_frame;0.852160037;0.613398254;0.036086619;78.08473206;0.809995472;0.49359566
yolov10s_run1_notemp_per_frame;0.82415539;0.564160287;0.068260148;81.09729004;0.686216891;0.478967011
yolov8s_b_run1_sed1_notemp_per_frame;0.773943007;0.501550972;0.134021655;91.19828033;0.526760161;0.47864449
yolov10l_run2_seed1_notemp_per_frame;0.860721231;0.617107093;0.01823717;64.85747528;0.889776051;0.472355336
yolov10s_run2_notemp_per_frame;0.784376323;0.507101119;0.116646081;85.14794922;0.555013835;0.466803342
yolov10s_run4_notemp_per_frame;0.854973614;0.594023883;0.01772739;80.24728394;0.887012601;0.446530581
yolov10l_run4_seed1_notemp_per_frame;0.804772198;0.517460167;0.08170826;65.5293808;0.626921952;0.44054091
yolov10s_run5_notemp_per_frame;0.847704232;0.576710105;0.02417502;85.96127319;0.84914875;0.436624587
yolov10l_run3_seed1_notemp_per_frame;0.813984811;0.517849028;0.063349031;61.93863678;0.674091339;0.420406371
yolov10l_run5_seed1_notemp_per_frame;0.827680588;0.536281407;0.045054425;63.76045609;0.743647337;0.41934666
yolov10l_run1_seed1_notemp_per_frame;0.82888484;0.520036876;0.034370601;66.02735138;0.779624343;0.390135467
yolov10l_run1_notemp_per_frame;0.82888484;0.520036876;0.034370601;65.33855438;0.779624343;0.390135467
yolov10s_run3_notemp_per_frame;0.833576024;0.504990339;0.01797151;78.93799591;0.861029387;0.35726133
firenet_per_frame;0.740738094;0.384616375;0.134667858;48.1170311;0.441070408;0.340974003
yolov8l_run5_notemp_per_frame;0.82440716;0.45619449;0.015257474;69.49090576;0.863607168;0.309965909
yolov8l_run1_notemp_per_frame;0.824861526;0.440382689;0.008443666;64.68095398;0.914565921;0.290015668
yolov8l_run4_notemp_per_frame;0.819836438;0.411690056;0.007330768;66.60956573;0.918561041;0.265296727
yolov8l_c_run2_sed12_notemp_per_frame;0.81264919;0.400070101;0.016011372;66.1137085;0.836534262;0.262900859
yolov8l_run3_notemp_per_frame;0.81279695;0.396449178;0.014525115;66.21430969;0.847378373;0.258754134
yolov8l_run2_notemp_per_frame;0.813990295;0.377899408;0.006418909;67.60297394;0.920285344;0.237767234
mobilenet_per_frame;0.774900913;0.109759264;0.001787817;35.15410233;0.910560369;0.058399372
