1;2;3;4
2;Model;Year;Cite
3;VisiFireBilkent (Cetin, 0000);2015;\citeproc{ref-VisiFireBilkent:online}{{[}xx{]}}
4;D-Fire (de Venancio et al., 2021);2021;\citeproc{ref-dfiredataset}{{[}xx{]}}
5;KMU (Ko et al., 2011);2011;\citeproc{ref-KMUFireSmokeDataset}{{[}xx{]}}
6;Mivia FIRE (Borgia et al., 2015);2015;\citeproc{ref-foggia2015real}{{[}xx{]}}
7;Mivia SMOKE (Borgia et al., 2015);2015;\citeproc{ref-foggia2015real}{{[}xx{]}}
8;USTC Smoke (in2017smoke);2017;\citeproc{ref-lin2017smoke}{{[}xx{]}}
9;FireNet (Lad et al., 2019);2019;\citeproc{ref-jadon2019firenet}{{[}xx{]}}
10;FireSense (Kose et al., 2010);2010;\citeproc{ref-Firesens4:online}{{[}xx{]}}
11;FiSmo (Cazzato et al., 2020);2020;\citeproc{ref-cazzolato2017fismo}{{[}xx{]}}
12;FURG (Steffens et al., 2015);2015;\citeproc{ref-steffens2015unconstrained}{{[}xx{]}}
13;VDS3 (Huang et al., 2022);2022;\citeproc{ref-huang2022fire}{{[}xx{]}}
14;Ours (2026);2026; - This work
