no.;select;experiment;Combined_Score;metric_recall (tpr);metric_fpr (false alarm rate);skip_rate;Recall_Drop;recall_retention;recall_retention_norm;skip_rate_norm;w_S;w_R;delta_R;metric_accuracy;metric_f1_score;metric_fps;metric_precision;skip_proc.name;skip_proc.params.scale_factor;skip_proc.params.block_size_orig;skip_proc.params.block_ratio_th;skip_proc.params.motion.name;skip_proc.params.motion.params.diff_frame_th;skip_proc.params.motion.params.impact_plus_one;skip_proc.params.motion.params.mask_th;skip_proc.params.motion.params.max_val;skip_proc.params.motion.params.decay
0;x;MainPC__ds_UFireIndoorVal__mt_no_temp_method__af4b0d32a3d2__20260327.162459_per_frame;-1;0.943473816;0.00740287;0;0;1;;;;;;0.982602656;0.956648588;24.66170692;0.970196605;;;;;;;;;;
1;x;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__36b5e12e627b__20260331.203240_per_frame;0.802031917;0.938951671;0.007367868;0.443875;0.004522145;0.69852368;0.837206715;0.786957004;0.7;0.3;0.015;0.981710434;0.95431757;36.32462311;0.970194697;motion_only_block_skip_proc;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;15;1
2;x;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__666751535d2a__20260331.203241_per_frame;0.791214379;0.933264792;0.007367868;0.550893;0.010209024;0.319398403;0.35464831;0.978314123;0.7;0.3;0.015;0.980553448;0.951286793;41.14936829;0.970018506;motion_only_block_skip_proc;0.5;32;0.1;acc_motion_det.AccMotionDet;5;5;5;25;1
3;x;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__87629e1c52c9__20260331.203240_per_frame;0.790301268;0.939225733;0.007367868;0.428929;0.004248083;0.716794491;0.860462176;0.760232308;0.7;0.3;0.015;0.981766224;0.954463184;35.71295547;0.970203102;motion_only_block_skip_proc;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;25;1
4;x;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__6daf0249c00a__20260331.203241_per_frame;0.789844959;0.933538854;0.007367868;0.544225;0.009934962;0.337669214;0.377903772;0.966391183;0.7;0.3;0.015;0.980609179;0.951433241;40.76634598;0.97002703;motion_only_block_skip_proc;0.5;32;0.1;acc_motion_det.AccMotionDet;5;5;5;35;1
5;x;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__72005fb7c84a__20260331.203241_per_frame;0.785583874;0.939294279;0.007367868;0.423766;0.004179537;0.72136418;0.86627857;0.751000433;0.7;0.3;0.015;0.981780171;0.954499543;35.52243423;0.970205247;motion_only_block_skip_proc;0.5;32;0.05;acc_motion_det.AccMotionDet;5;5;5;35;1
6;x;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__44dab6907672__20260331.203241_per_frame;0.77848794;0.932168543;0.007367868;0.563021;0.011305273;0.246315161;0.261626466;1;0.7;0.3;0.015;0.980330408;0.950700521;41.79219437;0.969984293;motion_only_block_skip_proc;0.5;32;0.1;acc_motion_det.AccMotionDet;5;5;5;15;1
7;x;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__d248962925c9__20260331.203241_per_frame;0.775554124;0.94018501;0.007367868;0.397637;0.003288805;0.780746301;0.941861347;0.704279599;0.7;0.3;0.015;0.98196137;0.954972506;34.47399902;0.970232606;motion_only_block_skip_proc;0.5;32;0.1;acc_motion_det.AccMotionDet;3;5;5;15;1
8;x;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__422171b6e4be__20260331.203241_per_frame;0.770451112;0.94018501;0.007367868;0.39356;0.003288805;0.780746301;0.941861347;0.696989583;0.7;0.3;0.015;0.98196137;0.954972506;34.31594086;0.970232606;motion_only_block_skip_proc;0.5;32;0.1;acc_motion_det.AccMotionDet;3;5;5;25;1
9;x;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__3d52681fb50b__20260331.203241_per_frame;0.767077893;0.94018501;0.007367868;0.390865;0.003288805;0.780746301;0.941861347;0.692170698;0.7;0.3;0.015;0.98196137;0.954972506;34.21257019;0.970232606;motion_only_block_skip_proc;0.5;32;0.1;acc_motion_det.AccMotionDet;3;5;5;35;1
10;x;1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__b28eb1293e74__20260331.203240_per_frame;0.759109111;0.938129485;0.007350367;0.426304;0.005344331;0.643711249;0.767440331;0.755538589;0.7;0.3;0.015;0.981557131;0.953913689;35.69283295;0.97023809;motion_only_block_skip_proc;0.5;32;0.05;acc_motion_det.AccMotionDet;3;5;10;15;1
