experiment;Combined_Score;metric_recall (tpr);metric_fpr (false alarm rate);skip_rate;Recall_Drop;recall_retention;FAR_drop;w_FAR;w_R;delta_R;metric_accuracy;metric_f1_score;metric_fps;metric_precision;window_size;persist_thres
MainPC__ds_UFireIndoorVal__mt_no_temp_method__af4b0d32a3d2__20260327.162459_per_frame;-1;0.943473816;0.00740287;0;0;1;;;;;0.982602656;0.956648588;24.05961037;0.970196605;;
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__b4885cade1dc__20260413.184932_per_frame;0.3;0.943473816;0.00740287;0;0;1;;0.5;0.5;0.015;0.982602656;0.956648588;24.05569077;0.970196605;10;0.05
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__92238bac73b2__20260413.184931_per_frame;0.3;0.943473816;0.00740287;0;0;1;;0.7;0.3;0.015;0.982602656;0.956648588;24.05559731;0.970196605;5;0.15
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__abd2e3e7d47b__20260413.184930_per_frame;0.3;0.943473816;0.00740287;0;0;1;;0.7;0.3;0.015;0.982602656;0.956648588;24.05558777;0.970196605;5;0.05
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__cb4dc70cb15e__20260413.184933_per_frame;0.3;0.943473816;0.00740287;0;0;1;;0.7;0.3;0.015;0.982602656;0.956648588;24.05563927;0.970196605;15;0.05
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__36bfd990e6ff__20260413.184930_per_frame;0.3;0.943473816;0.00740287;0;0;1;;0.7;0.3;0.015;0.982602656;0.956648588;24.05565453;0.970196605;5;0.1
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__313d50e8eefb__20260413.184931_per_frame;0.273963499;0.942171991;0.007385369;0;0.001301825;0.913211664;;0.7;0.3;0.015;0.98235172;0.955992758;24.05574036;0.970225096;5;0.2
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__c73c0c9ed937__20260413.184932_per_frame;0.273963499;0.942171991;0.007385369;0;0.001301825;0.913211664;;0.7;0.3;0.015;0.98235172;0.955992758;24.05556107;0.970225096;10;0.1
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__92512b942cba__20260413.184931_per_frame;0.273963499;0.942171991;0.007385369;0;0.001301825;0.913211664;;0.7;0.3;0.015;0.98235172;0.955992758;24.05559349;0.970225096;5;0.35
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__f222dc861389__20260413.184931_per_frame;0.273963499;0.942171991;0.007385369;0;0.001301825;0.913211664;;0.7;0.3;0.015;0.98235172;0.955992758;24.05569267;0.970225096;5;0.3
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__7ed192de39e0__20260413.184932_per_frame;0.273963499;0.942171991;0.007385369;0;0.001301825;0.913211664;;0.7;0.3;0.015;0.98235172;0.955992758;24.05577469;0.970225096;10;0.15
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__7f81a21c185a__20260413.184936_per_frame;0.273963499;0.942171991;0.007385369;0;0.001301825;0.913211664;;0.7;0.3;0.015;0.98235172;0.955992758;24.05546379;0.970225096;25;0.05
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__a44e26511628__20260413.184937_per_frame;0.273963499;0.942171991;0.007385369;0;0.001301825;0.913211664;;0.7;0.3;0.015;0.98235172;0.955992758;24.05565834;0.970225096;30;0.05
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__8502768b9896__20260413.184931_per_frame;0.273963499;0.942171991;0.007385369;0;0.001301825;0.913211664;;0.7;0.3;0.015;0.98235172;0.955992758;24.05560112;0.970225096;5;0.25
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__fce890cab5f7__20260413.184933_per_frame;0.273963499;0.942171991;0.007385369;0;0.001301825;0.913211664;;0.7;0.3;0.015;0.98235172;0.955992758;24.05566216;0.970225096;15;0.1
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__0f1dad8a85c8__20260413.184934_per_frame;0.273963499;0.942171991;0.007385369;0;0.001301825;0.913211664;;0.7;0.3;0.015;0.98235172;0.955992758;24.05550385;0.970225096;20;0.05
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__fa43adb6a184__20260413.184932_per_frame;0.247926998;0.940870166;0.007367868;0;0.00260365;0.826423327;;0.7;0.3;0.015;0.982100785;0.955336034;24.05569649;0.970253646;10;0.25
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__fb8b5a691b1f__20260413.184931_per_frame;0.247926998;0.940870166;0.007367868;0;0.00260365;0.826423327;;0.7;0.3;0.015;0.982100785;0.955336034;24.05566978;0.970253646;5;0.4
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__63d04bcda46e__20260413.184931_per_frame;0.247926998;0.940870166;0.007367868;0;0.00260365;0.826423327;;0.7;0.3;0.015;0.982100785;0.955336034;24.05560112;0.970253646;5;0.45
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__c97530f12a8d__20260413.184931_per_frame;0.247926998;0.940870166;0.007367868;0;0.00260365;0.826423327;;0.7;0.3;0.015;0.982100785;0.955336034;24.05567741;0.970253646;5;0.5
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__42f99aa1bdd0__20260413.184934_per_frame;0.247926998;0.940870166;0.007367868;0;0.00260365;0.826423327;;0.7;0.3;0.015;0.982100785;0.955336034;24.0555706;0.970253646;20;0.1
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__7277bcac8908__20260413.184933_per_frame;0.247926998;0.940870166;0.007367868;0;0.00260365;0.826423327;;0.7;0.3;0.015;0.982100785;0.955336034;24.05558968;0.970253646;15;0.15
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__753274f6b344__20260413.184932_per_frame;0.247926998;0.940870166;0.007367868;0;0.00260365;0.826423327;;0.7;0.3;0.015;0.982100785;0.955336034;24.05571175;0.970253646;10;0.2
