experiment;metric_accuracy;metric_f1_score;metric_fpr (false alarm rate);metric_fps;metric_precision;metric_recall (tpr);skip_proc.name;skip_proc.params.scale_factor;skip_proc.params.block_size_orig;skip_proc.params.block_ratio_th;skip_proc.params.motion.name;skip_proc.params.motion.params.diff_frame_th;skip_proc.params.motion.params.impact_plus_one;skip_proc.params.motion.params.mask_th;skip_proc.params.motion.params.max_val;skip_proc.params.motion.params.decay;skip_rate
MainPC__ds_UFireIndoorVal__mt_no_temp_method__af4b0d32a3d2__20260327.162459_per_frame;0.9826026558876038;0.956648588180542;0.0074028703384101;24.05961036682129;0.9701966047286988;0.9434738159179688;;;;;;;;;;;0.0
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__047c90efa9ad__20260331.203243_per_frame;0.9793824553489684;0.9481979608535768;0.0073503674939274;33.61350631713867;0.969905436038971;0.927440881729126;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;10.0;15.0;1.0;0.424116
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__06b5047cd6ef__20260331.203240_per_frame;0.9816965460777284;0.9542779326438904;0.0073503674939274;33.01397705078125;0.9702591896057128;0.938814640045166;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;35.0;1.0;0.37264600000000003
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__073327051dc0__20260331.203244_per_frame;0.9814873933792114;0.9537314176559448;0.0073503674939274;33.704891204833984;0.9702275395393372;0.9377869367599488;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;25.0;1.0;0.410676
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__0998441ae365__20260331.203243_per_frame;0.9817383289337158;0.9543871879577636;0.0073503674939274;28.325220108032227;0.9702655076980592;0.9390202164649964;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;35.0;1.0;0.272681
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__0b0484d4da2f__20260331.203239_per_frame;0.9820589423179626;0.9552270174026488;0.0073678684420883;28.412900924682617;0.9702473282814026;0.9406645894050598;motion_only_block_skip_proc;0.5;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;35.0;1.0;0.23741700000000002
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__0cc2b65f71af__20260331.203240_per_frame;0.9816407561302184;0.9541322588920592;0.0073503674939274;35.519744873046875;0.9702507257461548;0.9385405778884888;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;25.0;1.0;0.41410600000000003
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__0dc3f5e4dd7d__20260331.203242_per_frame;0.982100784778595;0.9553360342979432;0.0073678684420883;22.44997787475586;0.9702536463737488;0.94087016582489;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;35.0;1.0;0.026251000000000003
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__122d08f68098__20260331.203242_per_frame;0.982100784778595;0.9553360342979432;0.0073678684420883;22.546329498291016;0.9702536463737488;0.94087016582489;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;15.0;1.0;0.028754
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__12e869b01b7d__20260331.203239_per_frame;0.982100784778595;0.9553360342979432;0.0073678684420883;25.38601303100586;0.9702536463737488;0.94087016582489;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;35.0;1.0;0.118201
