Method;Parameters;;;;;; Metrics;;;;Ranking Score
Exp.;Scale factor $\alpha$;Block size $B$;Block active threshold $\tau$;Diff threshold $\tau_d$;Activation threshold $\tau_m$;Acc. cap $K_{\max}$;Recall (\%) $\uparrow$;FAR (\%) $\downarrow$;Skip Rate (\%) $\uparrow$;FPS $\uparrow$;Combined Score $\uparrow$
Baseline (No Skip module);-;-;-;-;-;-;\textbf{\textcolor{black}{94.35}} (-0.00);0.74;0;24.7;-
AccMotionDet;0.5;32;0.05;5;5;15;93.9 (-0.45);\underline{\textcolor{black}{0.737}};44.39;36.3;\textbf{\textcolor{black}{0.8020}}
AccMotionDet;0.5;32;0.1;5;5;25;93.33 (-1.02);\underline{\textcolor{black}{0.737}};\underline{\textcolor{black}{55.09}};\underline{\textcolor{black}{41.1}};\underline{\textcolor{black}{0.7912}}
AccMotionDet;0.5;32;0.05;5;5;25;93.92 (-0.42);\underline{\textcolor{black}{0.737}};42.89;35.7;0.7903
AccMotionDet;0.5;32;0.1;5;5;35;93.35 (-0.99);\underline{\textcolor{black}{0.737}};54.42;40.8;0.7898
AccMotionDet;0.5;32;0.05;5;5;35;93.93 (-0.42);\underline{\textcolor{black}{0.737}};42.38;35.5;0.7856
AccMotionDet;0.5;32;0.1;5;5;15;93.22 (-1.13);\underline{\textcolor{black}{0.737}};\textbf{\textcolor{black}{56.3}};\textbf{\textcolor{black}{41.8}};0.7785
AccMotionDet;0.5;32;0.1;3;5;15;\underline{\textcolor{black}{94.02}} (-0.33);\underline{\textcolor{black}{0.737}};39.76;34.5;0.7756
AccMotionDet;0.5;32;0.1;3;5;25;\underline{\textcolor{black}{94.02}} (-0.33);\underline{\textcolor{black}{0.737}};39.36;34.3;0.7705
AccMotionDet;0.5;32;0.1;3;5;35;\underline{\textcolor{black}{94.02}} (-0.33);\underline{\textcolor{black}{0.737}};39.09;34.2;0.7671
AccMotionDet;0.5;32;0.05;3;10;15;93.81 (-0.53);\textbf{\textcolor{black}{0.735}};42.63;35.7;0.7591
