Method;Parameters;;; Metrics;;;;Ranking Score
Exp.;$W_{fire}$;$W_{clr}$;$N_{chk}$;Recall (\%) $\uparrow$;FAR (\%) $\downarrow$;Skip Rate (\%) $\uparrow$;FPS $\uparrow$;Combined Score $\uparrow$
Baseline (No Skip module);-;-;-;\textbf{\textcolor{black}{94.35}} (-0.00);\underline{\textcolor{black}{0.74}};0.0;24.7;-
AccMotionDet;-;-;-;\underline{\textcolor{black}{93.9}};\textbf{\textcolor{black}{0.737}};\textbf{\textcolor{black}{44.39}};\textbf{\textcolor{black}{36.6}};-
AccMotionDet (Eager Mode);1.0;7.0;50.0;\textbf{\textcolor{black}{94.35}} (-0.00);\underline{\textcolor{black}{0.74}};\underline{\textcolor{black}{43.72}};\underline{\textcolor{black}{36.4}};\textbf{\textcolor{black}{0.9946}}
AccMotionDet (Eager Mode);1.0;7.0;30.0;\textbf{\textcolor{black}{94.35}} (-0.00);\underline{\textcolor{black}{0.74}};43.35;36.3;\underline{\textcolor{black}{0.9637}}
AccMotionDet (Eager Mode);2.0;3.0;50.0;\textbf{\textcolor{black}{94.35}} (-0.00);\textbf{\textcolor{black}{0.737}};43.25;36.2;0.9553
AccMotionDet (Eager Mode);2.0;7.0;50.0;\textbf{\textcolor{black}{94.35}} (-0.00);\underline{\textcolor{black}{0.74}};43.19;36.2;0.9501
AccMotionDet (Eager Mode);3.0;3.0;50.0;\textbf{\textcolor{black}{94.35}} (-0.00);\textbf{\textcolor{black}{0.737}};42.72;36.0;0.9115
AccMotionDet (Eager Mode);3.0;7.0;50.0;\textbf{\textcolor{black}{94.35}} (-0.00);\underline{\textcolor{black}{0.74}};42.67;35.9;0.9067
AccMotionDet (Eager Mode);1.0;7.0;20.0;\textbf{\textcolor{black}{94.35}} (-0.00);\underline{\textcolor{black}{0.74}};42.57;35.9;0.8985
AccMotionDet (Eager Mode);2.0;3.0;30.0;\textbf{\textcolor{black}{94.35}} (-0.00);\textbf{\textcolor{black}{0.737}};42.54;35.9;0.8958
AccMotionDet (Eager Mode);2.0;7.0;30.0;\textbf{\textcolor{black}{94.35}} (-0.00);\underline{\textcolor{black}{0.74}};42.47;35.9;0.8905
AccMotionDet (Eager Mode);3.0;3.0;30.0;\textbf{\textcolor{black}{94.35}} (-0.00);\textbf{\textcolor{black}{0.737}};41.72;35.6;0.8275
AccMotionDet (Eager Mode);3.0;7.0;30.0;\textbf{\textcolor{black}{94.35}} (-0.00);\underline{\textcolor{black}{0.74}};41.65;35.5;0.8221
