ref_key;label
ref-californiafire:online;{[}1{]}
ref-southkoreafire:online;{[}2{]}
ref-cheng2024visual;{[}3{]}
ref-gragnaniello2024fire;{[}4{]}
ref-geng2024yolofm;{[}5{]}
ref-khan2025optimized;{[}6{]}
ref-khan2025beyond;{[}7{]}
ref-cao2019attention;{[}8{]}
ref-ali2025toward;{[}9{]}
ref-de2023hybrid;{[}10{]}
ref-gragnaniello2025flame;{[}11{]}
ref-sobral2014comprehensive;{[}12{]}
ref-garcia2020background;{[}13{]}
ref-zivkovic2006efficient;{[}14{]}
ref-ghodrati2021frameexit;{[}15{]}
ref-jadon2019firenet;{[}16{]}
ref-Firesens4:online;{[}17{]}
ref-cazzolato2017fismo;{[}18{]}
ref-steffens2015unconstrained;{[}19{]}
ref-dfiredataset;{[}20{]}
ref-VisiFireBilkent:online;{[}21{]}
ref-KMUFireSmokeDataset;{[}22{]}
ref-foggia2015real;{[}23{]}
ref-lin2017smoke;{[}24{]}
ref-AIHub87:online;{[}25{]}
ref-huang2022fire;{[}26{]}
ref-onal2024video;{[}27{]}
ref-deniz2024optimized;{[}28{]}
ref-rohrbach2016recognizing;{[}29{]}
ref-marroquin2019wisenet;{[}30{]}
ref-steffens2016non;{[}31{]}
ref-mukhopadhyay2019fpga;{[}32{]}
ref-JocherYOLOv5byUltralytics2020;{[}33{]}
ref-hgnetv2timm:online;{[}34{]}
ref-rw2019timm;{[}35{]}
ref-cui2021beyond;{[}36{]}
ref-hgnetv2PaddleCl7:online;{[}37{]}
ref-hestness2017deep;{[}38{]}
ref-alabdulmohsin2022revisiting;{[}39{]}
ref-bahri2024explaining;{[}40{]}
