set;file;Note;
test;pixabay__lb_fire__chef-cook-cooking-hibachi-show-174220.mp4;steam, but label as smoke (fixed);
test;aihub__lb_fire__2269.mp4;to much wrong, miss = 50.56% (182);replace with: aihub_lb_fire_2895.mp4
test;youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4; steam but label as smoke (fixed) , miss: 25.46% (124),;
val;VSD3__lb_mixed_firesmoke__video1.avi;Miss: 87.16% (6606);
val;aihub__lb_smoke__0208.mp4;Miss: 38.33% (138);
val;aihub__lb_smoke__3042.mp4;Miss: 19.17% (69);
;;;
;;;
;move;done;
val;aihub__lb_smoke__0208 (from val -> test);yes;
;aihub__lb_fire__0178 (from test) ->val;;
;aihub__lb_none__0175.mp4 (val) -> test;;
;VSD3__lb_mixed_firesmoke__video1.mp4 (trim to ~1500 frames);;
