video;num_frames;frame_idx;gt_label;no_temp_method;temp_method_motion_block
aihub__lb_fire__0182.mp4;360;1;FireSmoke;Correct Positive;Miss (FN)
aihub__lb_fire__0182.mp4;360;2;FireSmoke;Correct Negative;Miss (FN)
aihub__lb_fire__0182.mp4;360;3;FireSmoke;Correct;Miss (FN)
aihub__lb_fire__0182.mp4;360;4;FireSmoke;False Alarm (FP);Miss (FN)
aihub__lb_fire__0182.mp4;360;5;FireSmoke;Miss (FN);Miss (FN)
aihub__lb_fire__0182.mp4;360;6;FireSmoke;Correct;Miss (FN)
aihub__lb_fire__0182.mp4;360;7;FireSmoke;Correct;Correct Proc.
aihub__lb_fire__0182.mp4;360;8;FireSmoke;Correct;Correct Proc.
aihub__lb_fire__1163.mp4;360;1;FireSmoke;Correct Negative;Miss (FN)
aihub__lb_fire__1163.mp4;360;2;FireSmoke;Correct Negative;Miss (FN)
aihub__lb_fire__1163.mp4;360;3;FireSmoke;Correct Negative;Miss (FN)
aihub__lb_fire__1163.mp4;360;4;FireSmoke;Correct Negative;Correct Proc.
aihub__lb_smoke__0264.mp4;360;1;FireSmoke;Correct Negative;Miss (FN)
aihub__lb_smoke__0264.mp4;360;2;FireSmoke;Correct Negative;Miss (FN)
aihub__lb_smoke__0264.mp4;360;3;FireSmoke;Correct Negative;Miss (FN)
aihub__lb_smoke__0264.mp4;360;4;FireSmoke;Correct Negative;Correct Proc.
aihub__lb_none_3298.mp4;360;1;None;Correct Negative;Correct Skip
aihub__lb_none_3298.mp4;360;2;None;Correct Negative;Correct Skip
aihub__lb_none_3298.mp4;360;3;None;Correct Negative;Correct Skip
aihub__lb_none_3298.mp4;360;4;None;Correct Negative;Waste (FP)
aihub__lb_none_3298.mp4;360;5;None;Correct Negative;Waste (FP)
aihub__lb_none_3298.mp4;360;6;None;Correct Negative;Waste (FP)
aihub__lb_none__0175.mp4;360;122;None;Correct Negative;Waste (FP)
aihub__lb_none__0175.mp4;360;123;None;Correct Negative;Waste (FP)
aihub__lb_none__0175.mp4;360;124;None;Correct Negative;Correct Skip
aihub__lb_none__0175.mp4;360;125;None;Correct Negative;Correct Skip
aihub__lb_none__0175.mp4;360;126;None;Correct Negative;Correct Skip
aihub__lb_none__0175.mp4;360;127;None;Correct Negative;Correct Skip
