video_path;width;height;frame_count;fps
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/FURG__lb_firesmoke__hand_held_batteries_night.mp4;1280;720;615;29.97
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/PEXELs__lb_firesmoke__10999881-hd_1920_1080_30fps.mp4;1280;720;320;29.97002997002997
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/PEXELs__lb_firesmoke__11584960-hd_1920_1080_30fps.mp4;1920;1080;2147;29.97002997002997
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/PEXELs__lb_firesmoke__117075-710546413.mp4;1920;1080;335;25.0
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/PEXELs__lb_firesmoke__11910087_1920_1080_30fps.mp4;1920;1080;1796;30.0
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/PEXELs__lb_firesmoke__12075744-hd_1920_1080_24fps.mp4;1920;1080;1164;23.976023976023978
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/PEXELs__lb_firesmoke__125899-735656332.mp4;1920;1080;1713;29.97002997002997
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/PEXELs__lb_firesmoke__13283153_1920_1080_24fps.mp4;1920;1080;251;23.976023976023978
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/PEXELs__lb_firesmoke__13341335_1920_1080_24fps.mp4;1920;1080;530;23.976023976023978
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/PEXELs__lb_firesmoke__13382959_1920_1080_24fps.mp4;1920;1080;586;24.0
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/PEXELs__lb_firesmoke__133858-758182528_small.mp4;1920;1080;600;29.97002997002997
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/PEXELs__lb_firesmoke__13444158_1920_1080_24fps.mp4;1920;1080;1061;24.0
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/PEXELs__lb_firesmoke__14121175-hd_1920_1080_30fps.mp4;1920;1080;529;29.97002997002997
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/PEXELs__lb_firesmoke__14121184-hd_1920_1080_30fps.mp4;1920;1080;591;29.97002997002997
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/PEXELs__lb_firesmoke__143325-782178558.mp4;1920;1080;354;50.0
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/PEXELs__lb_firesmoke__153663-805688996_small.mp4;1920;1080;1001;29.97002997002997
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/PEXELs__lb_firesmoke__163395-827856005.mp4;1920;1080;315;25.0
/mnt/c/Users/ha/Desktop/new_dataset/pool_static/firesmoke/PEXELs__lb_firesmoke__214875_small.mp4;1920;1080;636;30.0
