Name;State;Notes;User;Tags;Created;Runtime;Sweep;method_name;skip_proc.params.block_ratio_th;skip_proc.params.block_size_orig;skip_proc.params.min_roi_ratio;skip_proc.params.motion.name;skip_proc.params.motion.params.diff_frame_th;skip_proc.params.scale_factor;msg;per_frame_metric_FPR (False Alarm Rate);per_frame_metric_FPS;per_frame_metric_accuracy;per_frame_metric_f1_score;per_frame_metric_precision;per_frame_metric_recall (TPR);per_video_metric_FPR (False Alarm Rate);per_video_metric_FPS;per_video_metric_accuracy;per_video_metric_f1_score;per_video_metric_precision;per_video_metric_recall (TPR);trainer/global_step
MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block__9e58b3a5f429__20260204.045008;running;-;;;2026-02-04T00:47:09.000Z;342;;;;;;;;;Running config 19/73;;;;;;;;;;;;;0
MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block__c712c65fd10a__20260204.045008;finished;-;;;2026-02-04T00:31:00.000Z;968;;temp_method_motion_block;0.1;64;0.75;acc_motion_det.AccMotionDet;3;1;Running config 18/73;0.035832576;24.20045662;0.913030386;0.827610195;0.888592482;0.774460554;0.130434781;24.20045662;0.934782624;0.938775539;0.884615362;1;0
MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block__82e7a030b871__20260204.045008;finished;-;;;2026-02-04T00:14:18.000Z;1000;;temp_method_motion_block;0.05;64;0.75;acc_motion_det.AccMotionDet;3;1;Running config 17/73;0.042868666;23.13083839;0.920087755;0.846861541;0.875875771;0.81970799;0.130434781;23.13083839;0.934782624;0.938775539;0.884615362;1;0
MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block__fa63782a635b__20260204.045008;finished;-;;;2026-02-03T23:57:57.000Z;980;;temp_method_motion_block;0.15;32;0.75;acc_motion_det.AccMotionDet;3;1;Running config 16/73;0.042559765;23.23953629;0.919160128;0.844673514;0.876092911;0.815429688;0.130434781;23.23953629;0.934782624;0.938775539;0.884615362;1;0
MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block__c2f86f21056c__20260204.045008;finished;-;;;2026-02-03T23:41:10.000Z;1005;;temp_method_motion_block;0.1;32;0.75;acc_motion_det.AccMotionDet;3;1;Running config 15/73;0.04292015;22.94043541;0.921203375;0.8493433;0.876310587;0.823986232;0.130434781;22.94043541;0.934782624;0.938775539;0.884615362;1;0
MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block__8a43c37ef1c3__20260204.045008;finished;-;;;2026-02-03T23:23:39.000Z;1050;;temp_method_motion_block;0.05;32;0.75;acc_motion_det.AccMotionDet;3;1;Running config 14/73;0.042971633;21.49163246;0.923046052;0.853404045;0.877092242;0.830961704;0.130434781;21.49163246;0.934782624;0.938775539;0.884615362;1;0
MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block__af37a4aadbbe__20260204.045008;finished;-;;;2026-02-03T23:09:36.000Z;841;;temp_method_motion_block;0.15;64;0.75;acc_motion_det.AccMotionDet;2;0.5;Running config 13/73;0.027681008;28.48477936;0.913607001;0.824818254;0.909575045;0.75451076;0.130434781;28.48477936;0.913043499;0.916666687;0.879999995;0.956521749;0
MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block__1dca92e228a6__20260204.045008;finished;-;;;2026-02-03T22:54:55.000Z;880;;temp_method_motion_block;0.1;64;0.75;acc_motion_det.AccMotionDet;2;0.5;Running config 12/73;0.034476843;27.6648922;0.914998412;0.831507027;0.892801881;0.778087795;0.130434781;27.6648922;0.934782624;0.938775539;0.884615362;1;0
MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block__b58e9eddfbca__20260204.045008;finished;-;;;2026-02-03T22:39:42.000Z;907;;temp_method_motion_block;0.05;64;0.75;acc_motion_det.AccMotionDet;2;0.5;Running config 11/73;0.037634499;25.74223518;0.921466649;0.84767437;0.888254762;0.810639858;0.130434781;25.74223518;0.934782624;0.938775539;0.884615362;1;0
MainPC__ds_UFireIndoorVal__mt_temp_method_motion_block__8db77d766d3b__20260204.045008;finished;-;;;2026-02-03T22:24:50.000Z;891;;temp_method_motion_block;0.15;32;0.75;acc_motion_det.AccMotionDet;2;0.5;Running config 10/73;0.037737466;25.62360382;0.921441555;0.847662807;0.888006091;0.810825884;0.130434781;25.62360382;0.934782624;0.938775539;0.884615362;1;0
