Category;Model;# Videos;Resolution Min;Resolution Max;FireSmoke;Normal;Indoor;Outdoor
Static camera;VisiFire Bilkent (Cetin, 0000);39;320 x 240;720 x 576;38;1;6;32
Static camera;D-Fire (de Venancio et al., 2021);100;1280 x 720;1280 x 720;50;50;0;100
Static camera;KMU (Ko et al., 2011);38;320 x 240;320 x 240;28;10;10;28
Static camera;Mivia FIRE (Borgia et al., 2015);31;320 x 240;800 x 600;28;3;4;27
Static camera;Mivia SMOKE (Borgia et al., 2015);149;292 x 240;292 x 240;76;73;0;149
;;;;;;;;
Moving camera;FireNet (Lad et al., 2019);62;352 x 222;1920 x 1080;46;16;30;32
Moving camera;FireSense (Kose et al., 2010);49;300 x 240;1600 x 1200;24;25;10;39
Moving camera;FiSmo (Cazzato et al., 2020);88;320 x 240;1920 x 1080;80;8;0;88
Moving camera;FURG (Steffens et al., 2015);22;240 x 344;1920 x 1080;17;5;3;19
;;;;;;;;
Mix camera;VSD3 (Huang et al., 2022);;352 x 288;2048 x 1536;8;12;6;14
Static camera;USTC Smoke (in2017smoke);30;1920 x 1080;1920 x 1080;22;8;30;0
;;;;;;;;
Static Camera;Ours (2025);;;;;;;
