video_path;frame_count;fps
datasets\DFire\test\FP1.mp4;30;1.0
datasets\DFire\test\FP11.mp4;60;2.0
datasets\DFire\test\FP12.mp4;60;2.0
datasets\DFire\test\FP13.mp4;60;2.0
datasets\DFire\test\FP14.mp4;3;2.0
datasets\DFire\test\FP18.mp4;2;2.0
datasets\DFire\test\FP19.mp4;60;2.0
datasets\DFire\test\FP2.mp4;31;1.0
datasets\DFire\test\FP20.mp4;60;2.0
datasets\DFire\test\FP21.mp4;60;2.0
datasets\DFire\test\FP22.mp4;60;2.0
datasets\DFire\test\FP23.mp4;60;2.0
datasets\DFire\test\FP25.mp4;60;2.0
datasets\DFire\test\FP26.mp4;60;2.0
datasets\DFire\test\FP27.mp4;60;2.0
datasets\DFire\test\FP28.mp4;60;2.0
datasets\DFire\test\FP29.mp4;60;2.0
datasets\DFire\test\FP3.mp4;31;1.0
datasets\DFire\test\FP31.mp4;155;10.0
datasets\DFire\test\FP32.mp4;160;10.0
datasets\DFire\test\FP34.mp4;366;24.10777801522874
datasets\DFire\test\FP35.mp4;238;24.17923791376749
datasets\DFire\test\FP36.mp4;369;24.10668788190699
datasets\DFire\test\FP37.mp4;433;24.087285349960997
datasets\DFire\test\FP38.mp4;651;24.012068738696314
datasets\DFire\test\FP39.mp4;456;24.0
datasets\DFire\test\FP4.mp4;31;1.0
datasets\DFire\test\FP40.mp4;317;24.152380952380952
datasets\DFire\test\FP41.mp4;458;24.028498428704086
datasets\DFire\test\FP42.mp4;455;24.081889008073166
datasets\DFire\test\FP43.mp4;315;25.159744408945688
datasets\DFire\test\FP45.mp4;752;25.0
datasets\DFire\test\FP46.mp4;1701;25.029429075927016
datasets\DFire\test\FP48.mp4;515;24.093567251461987
datasets\DFire\test\FP8.mp4;60;2.0
datasets\DFire\test\VP1.mp4;60;2.0
datasets\DFire\test\VP10.mp4;60;2.0
datasets\DFire\test\VP12.mp4;60;2.0
datasets\DFire\test\VP13.mp4;60;2.0
datasets\DFire\test\VP14.mp4;60;2.0
datasets\DFire\test\VP15.mp4;60;2.0
datasets\DFire\test\VP16.mp4;60;2.0
datasets\DFire\test\VP17.mp4;60;2.0
datasets\DFire\test\VP19.mp4;60;2.0
datasets\DFire\test\VP20.mp4;60;2.0
datasets\DFire\test\VP21.mp4;60;2.0
datasets\DFire\test\VP22.mp4;60;2.0
datasets\DFire\test\VP25.mp4;60;2.0
datasets\DFire\test\VP26.mp4;60;2.0
datasets\DFire\test\VP27.mp4;60;2.0
datasets\DFire\test\VP28.mp4;60;2.0
datasets\DFire\test\VP29.mp4;60;2.0
datasets\DFire\test\VP3.mp4;60;2.0
datasets\DFire\test\VP30.mp4;60;2.0
datasets\DFire\test\VP31.mp4;60;2.0
datasets\DFire\test\VP36.mp4;60;2.0
datasets\DFire\test\VP37.mp4;60;2.0
datasets\DFire\test\VP39.mp4;60;2.0
datasets\DFire\test\VP41.mp4;60;2.0
datasets\DFire\test\VP43.mp4;60;2.0
datasets\DFire\test\VP44.mp4;60;2.0
datasets\DFire\test\VP45.mp4;60;2.0
datasets\DFire\test\VP46.mp4;60;2.0
datasets\DFire\test\VP47.mp4;60;2.0
datasets\DFire\test\VP49.mp4;60;2.0
datasets\DFire\test\VP5.mp4;60;2.0
datasets\DFire\test\VP6.mp4;60;2.0
datasets\DFire\test\VP7.mp4;60;2.0
datasets\DFire\test\VP8.mp4;60;2.0
datasets\DFire\test\VP9.mp4;60;2.0
