video_path;frame_count;fps
datasets\FireNet\fire\FireVid20.mp4;148;30.251786848362713
datasets\FireNet\fire\FireVid21.mp4;175;30.251767308246148
datasets\FireNet\fire\FireVid22.mp4;172;30.251710057057892
datasets\FireNet\fire\FireVid23.mp4;168;30.251634173470432
datasets\FireNet\fire\FireVid24.mp4;145;30.251429014917502
datasets\FireNet\fire\FireVid25.mp4;174;30.251767729013704
datasets\FireNet\fire\FireVid26.mp4;289;30.2015176233577
datasets\FireNet\fire\FireVid27.mp4;1475;30.003458025670756
datasets\FireNet\fire\FireVid28.mp4;1213;30.003957653111705
datasets\FireNet\fire\FireVid29.mp4;1625;30.003692762186116
datasets\FireNet\fire\FireVid30.mp4;1236;30.00364121859449
datasets\FireNet\fire\FireVid31.mp4;317;31.179
datasets\FireNet\fire\FireVid32.mp4;646;30.004644681839295
datasets\FireNet\fire\FireVid33.mp4;646;30.004644681839295
datasets\FireNet\fire\FireVid34.mp4;1051;30.003711210711124
datasets\FireNet\fire\FireVid35.mp4;1814;30.002811729875457
datasets\FireNet\fire\FireVid36.mp4;1430;30.003566857598457
datasets\FireNet\fire\FireVid37.mp4;166;30.007230657989876
datasets\FireNet\fire\FireVid38.mp4;1637;30.00366568914956
datasets\FireNet\fire\FireVid42.mp4;384;14.595272584452825
datasets\FireNet\fire\FireVid43.mp4;85;14.274065795046806
datasets\FireNet\fire\FireVid44.mp4;80;14.274753314419286
datasets\FireNet\fire\FireVid45.mp4;174;18.74508480175816
datasets\FireNet\fire\FireVid46.mp4;82;14.152843033847924
datasets\FireNet\fire\FireVid47.mp4;232;14.231004369490853
datasets\FireNet\fire\FireVid48.mp4;146;14.219748135146045
datasets\FireNet\fire\FireVid49.mp4;231;14.286136400649507
datasets\FireNet\fire\FireVid50.mp4;23;13.911103345385143
datasets\FireNet\fire\FireVid51.mp4;8;13.21294868971592
datasets\FireNet\fire\FireVid52.mp4;42;14.26463540271179
datasets\FireNet\fire\FireVid53.mp4;178;14.259037399265509
datasets\FireNet\fire\FireVid54.mp4;137;14.231778302828696
datasets\FireNet\fire\FireVid55.mp4;23;14.186341363122366
datasets\FireNet\fire\FireVid56.mp4;51;14.23582465433929
datasets\FireNet\fire\FireVid57.mp4;191;14.280089119718486
datasets\FireNet\fire\FireVid58.mp4;65;14.264465631172124
datasets\FireNet\fire\FireVid59.mp4;225;14.242178933812902
datasets\FireNet\fire\FireVid60.mp4;150;14.207340880413128
datasets\FireNet\fire\FireVid61.mp4;148;14.255411598254247
datasets\FireNet\fire\FireVid62.mp4;190;14.264942527297343
datasets\FireNet\fire\FireVid63.mp4;101;14.282751338713327
datasets\FireNet\fire\FireVid64.mp4;102;14.28635901713585
datasets\FireNet\fire\FireVid65.mp4;474;18.437402081014792
datasets\FireNet\fire\FireVid66.mp4;435;22.17136682653836
datasets\FireNet\fire\FireVid67.mp4;442;30.04007608944361
datasets\FireNet\fire\FireVid68.mp4;180;25.483718735252477
datasets\FireNet\NoFire\NoFireVid1.mp4;1455;25.0
datasets\FireNet\NoFire\NoFireVid10.mp4;70;30.251850981110746
datasets\FireNet\NoFire\NoFireVid11.mp4;184;30.25161948921127
datasets\FireNet\NoFire\NoFireVid12.mp4;369;30.25175113778148
datasets\FireNet\NoFire\NoFireVid13.mp4;514;30.25165136349019
datasets\FireNet\NoFire\NoFireVid14.mp4;109;30.25166051087006
datasets\FireNet\NoFire\NoFireVid15.mp4;39;29.993847415914683
datasets\FireNet\NoFire\NoFireVid16.mp4;217;30.15145199388634
datasets\FireNet\NoFire\NoFireVid2.mp4;260;30.004539148230116
datasets\FireNet\NoFire\NoFireVid3.mp4;113;30.25192086311675
datasets\FireNet\NoFire\NoFireVid4.mp4;454;29.97706600383554
datasets\FireNet\NoFire\NoFireVid5.mp4;545;29.658608554739935
datasets\FireNet\NoFire\NoFireVid6.mp4;380;30.00855507052449
datasets\FireNet\NoFire\NoFireVid7.mp4;86;30.0
datasets\FireNet\NoFire\NoFireVid8.mp4;1890;25.0
datasets\FireNet\NoFire\NoFireVid9.mp4;74;30.251854867952698
