video_path;frame_count;fps
datasets\pexels\10999881-hd_1920_1080_30fps.mp4;320;29.97002997002997
datasets\pexels\11574636-hd_1920_1080_30fps.mp4;1569;29.97002997002997
datasets\pexels\11584960-hd_1920_1080_30fps.mp4;2147;29.97002997002997
datasets\pexels\117075-710546413.mp4;335;25.0
datasets\pexels\11910087_1920_1080_30fps.mp4;1796;30.0
datasets\pexels\12075744-hd_1920_1080_24fps.mp4;1164;23.976023976023978
datasets\pexels\125899-735656332.mp4;1713;29.97002997002997
datasets\pexels\12773184_1920_1080_24fps.mp4;489;23.976023976023978
datasets\pexels\13283153_1920_1080_24fps.mp4;251;23.976023976023978
datasets\pexels\13341335_1920_1080_24fps.mp4;530;23.976023976023978
datasets\pexels\13382959_1920_1080_24fps.mp4;586;24.0
datasets\pexels\133858-758182528_small.mp4;600;29.97002997002997
datasets\pexels\13444158_1920_1080_24fps.mp4;1061;24.0
datasets\pexels\13455588_1080_1920_24fps.mp4;254;24.0
datasets\pexels\13455594_1080_1920_24fps.mp4;272;24.0
datasets\pexels\13455606_1920_1080_24fps.mp4;341;24.0
datasets\pexels\13589187_1080_1920_60fps.mp4;660;59.94005994005994
datasets\pexels\14121175-hd_1920_1080_30fps.mp4;529;29.97002997002997
datasets\pexels\14121184-hd_1920_1080_30fps.mp4;591;29.97002997002997
datasets\pexels\143325-782178558.mp4;354;50.0
datasets\pexels\153663-805688996_small.mp4;1001;29.97002997002997
datasets\pexels\163395-827856005.mp4;315;25.0
datasets\pexels\17429991-hd_1080_1920_30fps.mp4;421;29.97002997002997
datasets\pexels\17469008-hd_1920_1080_30fps.mp4;961;29.97002997002997
datasets\pexels\214875_small.mp4;636;30.0
datasets\pexels\217739_small.mp4;1799;29.97002997002997
datasets\pexels\224207_small.mp4;247;29.97002997002997
datasets\pexels\225245_small.mp4;338;25.0
datasets\pexels\2406491-hd_1920_1080_24fps.mp4;490;23.976023976023978
datasets\pexels\2533765-hd_2048_1080_24fps.mp4;401;24.0
datasets\pexels\2620043-hd_1920_1080_25fps.mp4;688;25.0
datasets\pexels\2836356-hd_1920_1080_24fps.mp4;434;23.976023976023978
datasets\pexels\2908570-hd_2048_1080_24fps.mp4;269;23.976023976023978
datasets\pexels\2927940-hd_2048_1080_24fps.mp4;242;24.0
datasets\pexels\3138266-hd_1080_1920_30fps.mp4;1154;30.0
datasets\pexels\3192084-hd_1920_1080_25fps.mp4;250;25.0
datasets\pexels\3192197-hd_1920_1080_25fps.mp4;508;25.0
datasets\pexels\3207799-hd_1920_1080_24fps.mp4;1294;23.976023976023978
datasets\pexels\3211457-hd_1920_1080_30fps.mp4;1835;29.97002997002997
datasets\pexels\3490083-hd_1920_1080_30fps.mp4;578;29.97002997002997
datasets\pexels\3628388-hd_1920_1080_25fps.mp4;188;25.0
