video;context
FP1;mountain black
FP2;moutain cam blur
FP3;factory
FP4;moutain blur
FP8;moutain - sun light
FP11;campus - cam switch
FP12;campus - cam switch
FP13;campus - cam switch
FP14;campus - cam switch
FP18;campus - cam switch
FP19;moutain blur
FP20;mountain - rain drop
FP21;mountain - rain drop
FP22;moutain - len blur
FP23;campus - cam switch
FP25;campus - cam switch
FP26;campus - cam switch
FP27;campus - cam switch
FP28;campus - cam switch
FP29;campus - cam switch
FP31;car at night - low res
FP32;car at night - low res
FP34;cloud over forest - drone
FP35;cloud over forest - drone
FP36;fog over land
FP37;cloud over forest - drone
FP38;cloud over forest - drone
FP39;contruction site night
FP40;car washing - water fly
FP41;dancing light stick night
FP42;christmast tree night
FP43;cloud over forest - drone
FP45;car run - high way night 
FP46;cloud over forest - drone
FP48;fog in forest (with light reflect)
VP1;factor - small smoke
VP3;factor - medium smoke
VP5;factor - small smoke
VP6;factor - medium smoke
VP7;mountain - right big smoke
VP8;mountain - left small slow smoke
VP9;mountain - left small slow smoke
VP10;factor - medium smoke
VP12;factor - medium smoke
VP13;moutain - small slow middle smoke over forest
VP14;moutain - small slow middle smoke  over houses
VP15;moutain - medium slow middle smoke  over houses
VP16;moutain - big slow middle smoke  over houses
VP17;moutain - big slow middle smoke  over houses
VP19;factor - medium smoke
VP20;factor - big smoke
VP21;factor - big smoke
VP22;moutain - medium slow tall smoke over forest
VP25;factor - medium smoke
VP26;factor - medium smoke
VP27;factor - medium smoke
VP28;factor - big smoke
VP29;factor - small smoke
VP30;factor - big smoke
VP31;factor - big smoke
VP36;factor - big smoke
VP37;factor - big smoke
VP39;factor - small growing smoke
VP41;moutain - small slow middle smoke over forest
VP43;factor - big smoke
VP44;factor - very big smoke
VP45;factor - very big smoke
VP46;factor - medium slow smoke
VP47;factor - big smoke
VP49;factor - big smoke
FP5;moutain view - blur
FP6;campus - cam switch
FP7;moutain view
FP9;campus - cam static
FP10;campus - cam static
FP15;moutain view
FP16;campus - cam switch
FP17;campus - cam switch
FP24;campus - cam switch
FP30;campus - cam switch
FP33;desert and cloud
FP44;cloud over forest - drone
FP47;cloud over forest - drone
FP49;sunset with house and blue car
FP50;subway, train coming
VP2;factory - slow small smoke
VP4;mountain - left small slow smoke
VP11;factor - small smoke
VP18;moutain - small slow middle smoke  over houses
VP23;moutain - small very slow middle smoke  over houses
VP24;factor - small smoke
VP32;factor - big smoke
VP33;factor - big smoke
VP34;factor - big smoke
VP35;factor - small slow smoke
VP38;factor - big smoke
VP40;factor - big smoke
VP42;moutain - medium slow tall smoke over forest
VP48;factor - big smoke
VP50;factor - medium smoke
