csv_outfile;preds;target;corrected?
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_stabilize__20250731.102126\VP13_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_stabilize__20250731.102126\VP7_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_stabilize__20250731.102126\VP14_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_stabilize__20250731.102126\VP5_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_stabilize__20250731.102126\VP22_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_stabilize__20250731.102126\FP48_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_stabilize__20250731.102126\FP46_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_stabilize__20250731.102126\VP41_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_stabilize__20250731.102126\VP10_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_stabilize__20250731.102126\VP15_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_stabilize__20250731.102126\FP14_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_stabilize__20250731.102126\VP30_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_stabilize__20250731.102126\VP29_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_stabilize__20250731.102126\VP28_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_stabilize__20250731.102126\VP27_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFireStatic__mt_temp_stabilize__20250731.102126\VP31_results.csv;positive;positive;1
