csv_outfile;preds;target;corrected?
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFire__mt_temp_stabilize__20250729.173615\VP22_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFire__mt_temp_stabilize__20250729.173615\FP37_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFire__mt_temp_stabilize__20250729.173615\FP42_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFire__mt_temp_stabilize__20250729.173615\FP46_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFire__mt_temp_stabilize__20250729.173615\FP48_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFire__mt_temp_stabilize__20250729.173615\VP41_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFire__mt_temp_stabilize__20250729.173615\FP28_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFire__mt_temp_stabilize__20250729.173615\FP27_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFire__mt_temp_stabilize__20250729.173615\FP40_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFire__mt_temp_stabilize__20250729.173615\FP25_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFire__mt_temp_stabilize__20250729.173615\FP39_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFire__mt_temp_stabilize__20250729.173615\VP10_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFire__mt_temp_stabilize__20250729.173615\VP13_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFire__mt_temp_stabilize__20250729.173615\VP14_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFire__mt_temp_stabilize__20250729.173615\VP5_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_DFire__mt_temp_stabilize__20250729.173615\FP18_results.csv;positive;negative;0
