csv_outfile;preds;target;corrected?
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\NoFireVid8_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\NoFireVid4_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\NoFireVid13_results.csv;positive;negative;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid55_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid56_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid57_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid58_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid59_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid60_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid61_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid62_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid63_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid64_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid65_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid66_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid67_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\FireVid20_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\NoFireVid10_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\NoFireVid11_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\NoFireVid12_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\NoFireVid14_results.csv;negative;negative;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_FireNet__mt_no_temp__20250729.172136\NoFireVid15_results.csv;negative;negative;1
