csv_outfile;preds;target;corrected?
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\10999881-hd_1920_1080_30fps_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\6093243-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\6093230-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\6093229-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\6024944-hd_1920_1080_25fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\5950042-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\5880020-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\5826368-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\5825806-hd_1080_1920_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\5816532-hd_1920_1080_25fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\61413-498529688_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\5806657-hd_1080_1920_25fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\5701553-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\5698928-hd_1920_1080_25fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\5669766-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\5509723-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\5503417-hd_1280_720_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\5488780-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\5470456-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\5419256-hd_1920_1080_25fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\5075224-hd_1920_1080_25fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\5758682-hd_1080_1920_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\6160044-uhd_3840_2160_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\6186411-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\6218554-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\95010-644716378_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\95009-644716367_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\9416733-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\9339477-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\8943204-hd_1080_1920_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\8665965-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\855234-hd_1280_720_28fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\854070-hd_1920_1080_25fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\8064156-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\79911-570708342_small_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\7131681-hd_1080_2048_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\6968181-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\6967877-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\68413-528670667_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\6775923-hd_1920_1080_25fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\6768504-hd_1080_2048_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\6768306-hd_1080_2048_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\6432883-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\6403563-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\6283922-hd_1080_1920_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\62402-504238747_medium_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\4824124-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_no_temp__20250730.182811\9574151-hd_2048_1080_25fps_results.csv;positive;positive;1
