csv_outfile;preds;target;corrected?
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\10999881-hd_1920_1080_30fps_results.csv;negative;positive;0
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\6093243-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\6093230-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\6093229-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\6024944-hd_1920_1080_25fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\5950042-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\5880020-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\5826368-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\5825806-hd_1080_1920_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\5816532-hd_1920_1080_25fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\61413-498529688_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\5806657-hd_1080_1920_25fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\5701553-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\5698928-hd_1920_1080_25fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\5669766-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\5509723-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\5503417-hd_1280_720_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\5488780-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\5470456-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\5419256-hd_1920_1080_25fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\5075224-hd_1920_1080_25fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\5758682-hd_1080_1920_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\6160044-uhd_3840_2160_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\6186411-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\6218554-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\95010-644716378_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\95009-644716367_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\9416733-hd_1920_1080_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\9339477-hd_1920_1080_24fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\8943204-hd_1080_1920_30fps_results.csv;positive;positive;1
E:\NextCloud\paper3\zout\1GPU_SV__ds_pexels__mt_temp_stabilize__20250730.093332\8665965-hd_1920_1080_24fps_results.csv;positive;positive;1
