;video_path;width;height;frame_count;fps
0;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_firesmoke__video4.mp4;1920;1080;1419;29.983265154332464
1;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_firesmoke__video5.mp4;1280;720;9018;30.0
2;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_firesmoke__video6.mp4;1280;720;5667;29.97002997002997
3;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_firesmoke__video7.mp4;640;360;2878;30.0
4;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_firesmoke__video1.avi;2048;1536;9500;25.0
5;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_firesmoke__video2.avi;1280;720;8950;25.0
6;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_firesmoke__video3.avi;352;288;293;10.0
7;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_firesmoke__video8.avi;2048;1536;7314;25.0
8;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_none__video10.avi;640;480;645;25.0
9;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_none__video11.avi;640;368;541;30.0
10;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_none__video12.avi;320;240;155;10.0
11;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_none__video13.avi;1280;720;5829;25.0
12;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_none__video14.avi;352;288;723;25.0
13;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_none__video15.avi;352;288;251;25.0
14;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_none__video16.avi;1600;1200;196;18.508236165093468
15;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_none__video17.avi;360;288;246;25.0
16;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_none__video18.avi;1280;720;6313;25.0
17;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_none__video19.avi;1920;1080;41323;24.0
18;/mnt/d/__Archived/02_all_fire_dataset/video_VSD3_fire video_huang2022fire/VSD3__lb_none__video20.avi;1280;720;7478;25.0
