video;frame_idx;num_frames;gt_label;N;T;TE
aihub_lb_fire_2895.mp4;1;360;fire_smoke;fire;skipped;fire
aihub_lb_fire_2895.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__0182.mp4;1;360;fire_smoke;smokeonly;skipped;smokeonly
aihub__lb_fire__0182.mp4;2;360;fire_smoke;smokeonly;skipped;smokeonly
aihub__lb_fire__0182.mp4;105;360;fire_smoke;smokeonly;skipped;smokeonly
aihub__lb_fire__0182.mp4;107;360;fire_smoke;smokeonly;skipped;smokeonly
aihub__lb_fire__0195.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__0195.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1029.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1029.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1163.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1163.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1180.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1180.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1266.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1266.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1538.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1538.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1707.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1707.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1743.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1743.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1744.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1744.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1793.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__1793.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__2224.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__2224.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__2764.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__2764.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__2895.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__2895.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__2896.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__2896.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__3433.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__3433.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__5729.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__5729.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__5729.mp4;3;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__5729.mp4;4;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__5730.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__5730.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__5730.mp4;3;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__5730.mp4;4;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__5731.mp4;1;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__5731.mp4;2;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__5731.mp4;3;360;fire_smoke;fire;skipped;fire
aihub__lb_fire__5731.mp4;4;360;fire_smoke;fire;skipped;fire
aihub__lb_smoke__0208.mp4;45;360;fire_smoke;smokeonly;skipped;smokeonly
