video;frame_idx;num_frames;gt_label;NoTemp (X);Temp_Skip_module;Temp_Eager
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;125;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;126;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;127;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;128;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;129;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;130;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;131;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;132;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;133;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;134;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;135;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;136;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;137;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;138;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;139;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;140;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;141;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;142;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;143;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;144;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;145;487;none;smokeonly;smokeonly;smokeonly
youtube__lb_mixed_firesmoke__Turkey-Fryer-Fire-[HYvMWIvghnQ].mp4;146;487;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;1;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;2;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;3;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;4;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;5;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;6;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;7;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;8;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;9;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;10;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;11;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;12;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;13;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;14;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;15;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;16;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;17;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;18;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;19;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;20;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;21;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;22;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;23;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;24;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;25;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;26;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;27;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;28;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;29;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;30;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;31;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;32;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;33;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;34;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;35;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;36;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;37;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;38;360;none;smokeonly;skipped;smokeonly
aihub__lb_none__0175.mp4;39;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;40;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;41;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;42;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;43;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;44;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;45;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;46;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;47;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;48;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;49;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;50;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;51;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;52;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;53;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;54;360;none;smokeonly;smokeonly;smokeonly
aihub__lb_none__0175.mp4;55;360;none;smokeonly;smokeonly;smokeonly
